RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,12.254
2,Clemson,ACC,11.2052
3,Alabama,SEC,8.631599999999999
4,LSU,SEC,8.1892
5,Utah,PAC-12,7.9352
6,Oklahoma,BIG-12,7.8934
7,Oregon,PAC-12,7.455799999999999
8,Georgia,SEC,7.374199999999999
9,Penn State,BIG-TEN,7.1082
10,Wisconsin,BIG-TEN,6.9996
11,UCF,AMERICAN,6.545
12,Florida,SEC,6.1838
13,Michigan,BIG-TEN,6.074000000000001
14,Louisiana,SUN-BELT,5.986
15,Minnesota,BIG-TEN,5.850600000000001
16,Appalachian State,SUN-BELT,5.688
17,Notre Dame,INDEPENDENT,5.5924
18,Baylor,BIG-12,5.3684
19,Memphis,AMERICAN,5.232000000000001
20,Boise State,MWC,5.206
21,Navy,AMERICAN,5.0360000000000005
22,Texas A&M,SEC,4.9998000000000005
23,Indiana,BIG-TEN,4.9224
24,SMU,AMERICAN,4.7506
25,Auburn,SEC,4.7504
26,Air Force,MWC,4.743399999999999
27,Iowa State,BIG-12,4.3738
28,Iowa,BIG-TEN,4.357399999999999
29,Washington,PAC-12,4.037399999999999
30,Oklahoma State,BIG-12,3.9742
31,Louisiana Tech,CUSA,3.9723999999999995
32,Miami (FL),ACC,3.87
33,Cincinnati,AMERICAN,3.8342
34,Washington State,PAC-12,3.6039999999999996
35,Virginia,ACC,3.5272
36,Tulane,AMERICAN,3.4753999999999996
37,San Diego State,MWC,3.3970000000000002
38,UAB,CUSA,3.383
39,Florida Atlantic,CUSA,3.3246
40,Texas Christian,BIG-12,3.2951999999999995
41,Kansas State,BIG-12,3.2868000000000004
42,Missouri,SEC,3.204
43,Army,INDEPENDENT,3.2035999999999993
44,Western Michigan,MAC,3.1637999999999997
45,Virginia Tech,ACC,3.0542000000000007
46,Southern Mississippi,CUSA,2.9866000000000006
47,USC,PAC-12,2.9592
48,Pitt,ACC,2.9268
49,Troy,SUN-BELT,2.8243999999999994
50,Texas,BIG-12,2.7402000000000006
51,Wake Forest,ACC,2.7002
52,Marshall,CUSA,2.6528
53,Central Michigan,MAC,2.5585999999999998
54,Buffalo,MAC,2.5223999999999998
55,Liberty,INDEPENDENT,2.3815999999999993
56,Hawaii,MWC,2.356999999999999
57,Western Kentucky,CUSA,2.337
58,Wyoming,MWC,2.252
59,Temple,AMERICAN,1.9464
60,Brigham Young,INDEPENDENT,1.9105999999999996
61,Kentucky,SEC,1.8702000000000005
62,Florida State,ACC,1.7957999999999998
63,Illinois,BIG-TEN,1.7106000000000001
64,Boston College,ACC,1.6285999999999996
65,Louisville,ACC,1.6075999999999993
66,North Carolina,ACC,1.522
67,Ball State,MAC,1.514
68,Texas Tech,BIG-12,1.4886
69,Arizona State,PAC-12,1.4813999999999998
70,Utah State,MWC,1.4392000000000003
71,Tennessee,SEC,1.438
72,Ole Miss,SEC,1.3247999999999998
73,Colorado State,MWC,1.1417999999999997
74,South Carolina,SEC,1.1231999999999998
75,Toledo,MAC,1.068
76,Oregon State,PAC-12,1.0404000000000004
77,Coastal Carolina,SUN-BELT,0.9930000000000002
78,Florida International,CUSA,0.903
79,North Texas,CUSA,0.7590000000000006
80,Georgia State,SUN-BELT,0.7500000000000002
81,Michigan State,BIG-TEN,0.6588000000000002
82,Fresno State,MWC,0.6360000000000006
83,Charlotte,CUSA,0.5599999999999999
84,Ohio,MAC,0.5210000000000002
85,Nebraska,BIG-TEN,0.5144000000000004
86,Arkansas State,SUN-BELT,0.44520000000000004
87,Georgia Southern,SUN-BELT,0.4117999999999999
88,Purdue,BIG-TEN,0.30740000000000006
89,South Florida,AMERICAN,0.28780000000000044
90,San Jose State,MWC,0.28700000000000003
91,Mississippi State,SEC,0.25400000000000034
92,Syracuse,ACC,0.18600000000000044
93,Eastern Michigan,MAC,0.07500000000000005
94,North Carolina State,ACC,0.033000000000000085
95,Northern Illinois,MAC,0.027200000000000463
96,Duke,ACC,0.026000000000000176
97,Arizona,PAC-12,0.002199999999999874
98,California,PAC-12,-0.06059999999999999
99,Miami (OH),MAC,-0.07159999999999991
100,UCLA,PAC-12,-0.35620000000000057
101,Stanford,PAC-12,-0.45679999999999943
102,East Carolina,AMERICAN,-0.5592
103,Tulsa,AMERICAN,-0.5889999999999995
104,Colorado,PAC-12,-0.6091999999999995
105,Houston,AMERICAN,-0.6321999999999993
106,Middle Tennessee State,CUSA,-0.7876000000000003
107,Maryland,BIG-TEN,-0.8787999999999994
108,Louisiana-Monroe,SUN-BELT,-0.9312000000000002
109,Kent State,MAC,-0.9695999999999999
110,West Virginia,BIG-12,-1.2348000000000001
111,Nevada,MWC,-1.3343999999999994
112,Northwestern,BIG-TEN,-1.3641999999999999
113,Kansas,BIG-12,-1.4302000000000001
114,Nevada-Las Vegas,MWC,-1.9380000000000006
115,UTSA,CUSA,-2.064
116,Texas State,SUN-BELT,-2.479
117,Arkansas,SEC,-2.4818000000000002
118,New Mexico,MWC,-2.6896
119,Rice,CUSA,-2.7144000000000004
120,Old Dominion,CUSA,-2.8249999999999997
121,South Alabama,SUN-BELT,-2.8371999999999997
122,Georgia Tech,ACC,-2.8474000000000004
123,Bowling Green State,MAC,-3.3981999999999988
124,UTEP,CUSA,-3.6440000000000006
125,Connecticut,AMERICAN,-4.174799999999999
126,Vanderbilt,SEC,-4.319399999999999
127,New Mexico State,INDEPENDENT,-4.3452
128,Rutgers,BIG-TEN,-4.6896
129,Akron,MAC,-5.340999999999999
130,Massachusetts,INDEPENDENT,-7.375
