WINNER,LOSER,DIFFERENCE
Wake Forest,North Carolina,17.572000000000006
Washington State,Houston,23.060000000000006
Boston College,Kansas,26.032
Air Force,Colorado,3.094666666666662
Akron,Central Michigan,5.826666666666666
Alabama,South Carolina,48.408
Michigan State,Arizona State,1.0106666666666708
Georgia,Arkansas State,28.51466666666667
Army,Texas-San Antonio,59.02933333333333
Miami (FL),Bethune-Cookman,-6.666666666666667
Buffalo,Liberty,23.413333333333338
Oregon State,Cal Poly,-6.666666666666667
Tennessee,Chattanooga,-6.666666666666667
Georgia Tech,Citadel,-6.666666666666667
Clemson,Syracuse,37.201333333333324
Arkansas,Colorado State,0.09466666666666512
Middle Tennessee State,Duke,1.653333333333332
Navy,East Carolina,6.142666666666664
Eastern Michigan,Illinois,26.846666666666664
Florida,Kentucky,6.34266666666667
Florida Atlantic,Ball State,12.162666666666665
Virginia,Florida State,33.18533333333334
Virginia Tech,Furman,-6.666666666666667
Georgia Southern,Minnesota,6.509333333333336
Western Michigan,Georgia State,31.86
Washington,Hawaii,32.892
Wyoming,Idaho,-6.666666666666667
Utah,Idaho State,-6.666666666666667
Iowa,Iowa State,12.227999999999994
Mississippi State,Kansas State,39.19466666666667
Auburn,Kent State,46.32933333333334
Texas A&M,Lamar,-6.666666666666667
Louisiana Tech,Bowling Green State,30.35466666666667
Western Kentucky,Louisville,26.836000000000002
Temple,Maryland,16.932000000000002
Charlotte,Massachusetts,13.157333333333332
Memphis,South Alabama,42.333333333333336
Cincinnati,Miami (OH),35.513333333333335
Tulane,Missouri State,-6.666666666666667
Oregon,Montana,-6.666666666666667
Toledo,Murray State,-6.666666666666667
Northwestern,Nevada-Las Vegas,25.763999999999996
Florida International,New Hampshire,-6.666666666666667
Notre Dame,New Mexico,58.704
Coastal Carolina,Norfolk State,-6.666666666666667
West Virginia,North Carolina State,10.02666666666667
North Texas,California,11.233333333333334
Nebraska,Northern Illinois,4.013333333333333
Louisiana State,Northwestern State,-6.666666666666667
Ohio,Marshall,7.980000000000004
Ohio State,Indiana,41.80133333333333
Oklahoma,UCLA,47.95333333333335
Oklahoma State,Tulsa,21.025333333333332
Penn State,Pittsburgh,27.538666666666668
Boise State,Portland State,-6.666666666666667
Texas,Rice,50.970666666666666
San Diego State,New Mexico State,25.603999999999996
South Florida,South Carolina State,-6.666666666666667
Missouri,Southeast Missouri State,-6.666666666666667
Mississippi,Southeastern Louisiana,-6.666666666666667
Brigham Young,Southern California,15.0
Troy,Southern Mississippi,8.188000000000002
Central Florida,Stanford,27.577333333333343
Texas Christian,Purdue,0.059999999999996355
Louisiana,Texas Southern,-6.666666666666667
Southern Methodist,Texas State,10.317333333333334
Texas Tech,Arizona,4.970666666666661
Nevada,Weber State,-6.666666666666667
