WINNER,LOSER,DIFFERENCE
Miami (FL),Virginia,3.0000000000000013
Brigham Young,Utah State,3.6666666666666656
Houston,Tulsa,10.333333333333334
Maryland,Iowa,3.0000000000000013
Air Force,New Mexico,3.6666666666666656
Appalachian State,Georgia State,10.333333333333334
UCLA,Arizona State,3.0000000000000013
Georgia,Arkansas,3.0000000000000013
Georgia Southern,Arkansas State,3.0
Army,Ball State,17.0
Louisiana State,Auburn,3.0000000000000013
Oklahoma State,Baylor,3.0000000000000013
Boston College,Clemson,10.333333333333332
Bowling Green State,Kent State,3.666666666666667
Central Florida,Navy,10.333333333333334
Central Michigan,Miami (OH),3.666666666666667
Charlotte,Illinois,10.333333333333334
Notre Dame,Cincinnati,9.666666666666668
Vanderbilt,Connecticut,9.666666666666666
Duke,North Carolina,3.6666666666666656
Eastern Michigan,Northern Illinois,3.6666666666666656
Kentucky,Florida,9.666666666666668
Florida Atlantic,Florida International,9.666666666666668
Fresno State,Hawaii,10.333333333333332
Penn State,Indiana,16.333333333333336
Iowa State,Kansas,9.666666666666668
Alabama-Birmingham,Liberty,3.0000000000000013
South Alabama,Louisiana,3.0000000000000013
North Carolina State,Louisiana Tech,9.666666666666668
Coastal Carolina,Louisiana-Monroe,16.333333333333336
Wake Forest,Louisville,9.666666666666668
Marshall,Middle Tennessee State,3.666666666666667
Memphis,Temple,3.6666666666666656
Michigan,Wisconsin,17.0
Purdue,Minnesota,9.666666666666668
Alabama,Mississippi,9.666666666666668
Texas A&M,Mississippi State,9.666666666666668
Boise State,Nevada,3.0000000000000013
Texas-San Antonio,Nevada-Las Vegas,29.666666666666668
San Jose State,New Mexico State,9.666666666666668
Nebraska,Northwestern,3.0000000000000013
Akron,Ohio,9.666666666666666
Rutgers,Ohio State,3.0000000000000013
Oklahoma,Kansas State,3.6666666666666656
Texas-El Paso,Old Dominion,16.333333333333336
Oregon,Stanford,10.333333333333332
Pittsburgh,Georgia Tech,3.6666666666666656
Southern Methodist,South Florida,23.000000000000004
Southern California,Colorado,3.666666666666667
Rice,Southern Mississippi,3.0
Syracuse,Florida State,17.0
Missouri,Tennessee,3.0000000000000013
Texas,Texas Christian,3.6666666666666656
Texas Tech,West Virginia,3.6666666666666656
Toledo,Massachusetts,10.333333333333334
South Carolina,Troy,3.0000000000000013
East Carolina,Tulane,9.666666666666668
Oregon State,Washington,9.666666666666668
California,Washington State,3.0
Michigan State,Western Kentucky,23.000000000000004
Western Michigan,Buffalo,3.6666666666666656
