RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,11.102599999999999
2,Clemson,ACC,10.6496
3,LSU,SEC,10.2272
4,Alabama,SEC,8.995800000000001
5,Georgia,SEC,7.232600000000001
6,Oklahoma,BIG-12,7.108600000000001
7,UCF,AMERICAN,7.084
8,Oregon,PAC-12,7.0486
9,Utah,PAC-12,6.944399999999999
10,Notre Dame,INDEPENDENT,6.796399999999999
11,Florida,SEC,6.698799999999999
12,Wisconsin,BIG-TEN,6.601400000000002
13,Appalachian State,SUN-BELT,6.574999999999999
14,Penn State,BIG-TEN,6.4794
15,Louisiana,SUN-BELT,6.1743999999999994
16,Navy,AMERICAN,5.96
17,Minnesota,BIG-TEN,5.7738000000000005
18,Memphis,AMERICAN,5.6524
19,Air Force,MWC,5.4714
20,Baylor,BIG-12,5.4448
21,Boise State,MWC,5.186000000000001
22,Florida Atlantic,CUSA,5.1166
23,Auburn,SEC,5.0944
24,Iowa,BIG-TEN,4.980600000000001
25,Michigan,BIG-TEN,4.9422
26,Louisiana Tech,CUSA,4.2554
27,Washington,PAC-12,4.2538
28,North Carolina,ACC,4.159
29,Buffalo,MAC,4.1244
30,Cincinnati,AMERICAN,4.0664
31,San Diego State,MWC,3.983
32,Indiana,BIG-TEN,3.8668000000000005
33,SMU,AMERICAN,3.8215999999999997
34,Kentucky,SEC,3.7842000000000002
35,Texas,BIG-12,3.6002000000000005
36,Texas A&M,SEC,3.5678000000000005
37,Iowa State,BIG-12,3.433600000000001
38,Oklahoma State,BIG-12,3.2984000000000004
39,Kansas State,BIG-12,3.1468000000000007
40,Tulane,AMERICAN,3.1194
41,Virginia,ACC,3.1190000000000007
42,Western Kentucky,CUSA,3.114
43,Virginia Tech,ACC,3.0102
44,USC,PAC-12,3.0000000000000004
45,Missouri,SEC,2.9510000000000005
46,Ohio,MAC,2.9149999999999996
47,Miami (FL),ACC,2.8829999999999996
48,Washington State,PAC-12,2.8737999999999997
49,Wake Forest,ACC,2.8302
50,Hawaii,MWC,2.7928
51,Western Michigan,MAC,2.7768
52,Tennessee,SEC,2.685
53,Wyoming,MWC,2.67
54,Liberty,INDEPENDENT,2.6025999999999994
55,Central Michigan,MAC,2.5806
56,Texas Christian,BIG-12,2.5620000000000003
57,Brigham Young,INDEPENDENT,2.5496000000000003
58,UAB,CUSA,2.4634000000000005
59,Pitt,ACC,2.3194
60,Arizona State,PAC-12,2.2684000000000006
61,Michigan State,BIG-TEN,2.2508
62,Army,INDEPENDENT,2.1805999999999996
63,Louisville,ACC,2.0306000000000006
64,Temple,AMERICAN,1.9798000000000004
65,Southern Mississippi,CUSA,1.9536000000000007
66,Ball State,MAC,1.9259999999999997
67,Marshall,CUSA,1.8318000000000003
68,Nebraska,BIG-TEN,1.5326
69,Charlotte,CUSA,1.3390000000000004
70,Florida State,ACC,1.3111999999999997
71,California,PAC-12,1.2954
72,Ole Miss,SEC,1.2638
73,Mississippi State,SEC,1.247
74,Arkansas State,SUN-BELT,1.1262000000000003
75,Coastal Carolina,SUN-BELT,1.1170000000000002
76,Utah State,MWC,1.1058000000000001
77,Troy,SUN-BELT,1.0716
78,Florida International,CUSA,0.9880000000000001
79,Georgia Southern,SUN-BELT,0.9508000000000003
80,Texas Tech,BIG-12,0.9416
81,Colorado State,MWC,0.8644000000000002
82,Illinois,BIG-TEN,0.8358000000000001
83,Eastern Michigan,MAC,0.8039999999999997
84,Oregon State,PAC-12,0.7762
85,San Jose State,MWC,0.6730000000000005
86,Boston College,ACC,0.5823999999999995
87,North Texas,CUSA,0.5340000000000004
88,Georgia State,SUN-BELT,0.5309999999999997
89,Fresno State,MWC,0.4529999999999998
90,Kent State,MAC,0.37539999999999996
91,Tulsa,AMERICAN,0.34299999999999964
92,Miami (OH),MAC,0.3034000000000001
93,South Carolina,SEC,0.3009999999999997
94,Syracuse,ACC,0.12300000000000007
95,Duke,ACC,0.047000000000000416
96,Toledo,MAC,-0.012000000000000191
97,Purdue,BIG-TEN,-0.10940000000000003
98,Northern Illinois,MAC,-0.14179999999999968
99,Middle Tennessee State,CUSA,-0.21559999999999968
100,Louisiana-Monroe,SUN-BELT,-0.2962
101,Houston,AMERICAN,-0.42440000000000017
102,Colorado,PAC-12,-0.4544
103,Nevada,MWC,-0.4903999999999996
104,North Carolina State,ACC,-0.6029999999999998
105,East Carolina,AMERICAN,-0.6242000000000003
106,UCLA,PAC-12,-0.6401999999999997
107,Arizona,PAC-12,-0.6653999999999995
108,Stanford,PAC-12,-0.7332000000000001
109,West Virginia,BIG-12,-0.7603999999999997
110,Northwestern,BIG-TEN,-0.8062
111,South Florida,AMERICAN,-1.0363999999999995
112,Nevada-Las Vegas,MWC,-1.169
113,Rice,CUSA,-1.4653999999999998
114,Maryland,BIG-TEN,-1.7188
115,UTSA,CUSA,-2.1279999999999997
116,Kansas,BIG-12,-2.1616
117,South Alabama,SUN-BELT,-2.2612
118,Texas State,SUN-BELT,-2.5522000000000005
119,New Mexico,MWC,-2.7696000000000005
120,Old Dominion,CUSA,-2.836
121,Vanderbilt,SEC,-2.9713999999999996
122,Arkansas,SEC,-3.0058
123,Georgia Tech,ACC,-3.0282
124,UTEP,CUSA,-3.2569999999999992
125,New Mexico State,INDEPENDENT,-3.7642
126,Connecticut,AMERICAN,-4.0988
127,Bowling Green State,MAC,-4.3002
128,Rutgers,BIG-TEN,-4.724600000000001
129,Akron,MAC,-5.669
130,Massachusetts,INDEPENDENT,-7.4350000000000005
