WINNER,LOSER,DIFFERENCE
Louisiana,Appalachian State,3.0000000000000013
South Alabama,Georgia Southern,9.666666666666668
Memphis,Navy,16.333333333333336
Oregon,California,23.000000000000004
Syracuse,Clemson,3.0000000000000013
Marshall,North Texas,10.333333333333334
San Diego State,San Jose State,10.333333333333332
Air Force,Boise State,10.333333333333332
Miami (OH),Akron,3.0000000000000013
Alabama,Mississippi State,10.333333333333332
Alabama-Birmingham,Southern Mississippi,17.0
Colorado,Arizona,9.666666666666666
Arizona State,Utah,10.333333333333332
Army,Wisconsin,10.333333333333332
Arkansas,Auburn,3.0000000000000013
Eastern Michigan,Ball State,9.666666666666668
Northern Illinois,Bowling Green State,16.333333333333336
Baylor,Brigham Young,3.0000000000000013
Cincinnati,Central Florida,16.333333333333336
New Mexico,Colorado State,3.0000000000000013
Virginia,Duke,9.666666666666668
Florida,Louisiana State,3.6666666666666656
Wyoming,Fresno State,3.0000000000000013
Nevada,Hawaii,9.666666666666668
Kansas State,Iowa State,3.0000000000000013
Western Michigan,Kent State,9.666666666666668
Georgia,Kentucky,3.0000000000000013
Liberty,Louisiana-Monroe,17.0
Texas-El Paso,Louisiana Tech,23.000000000000004
North Carolina,Miami (FL),9.666666666666668
Michigan State,Indiana,23.666666666666668
Tennessee,Mississippi,3.0000000000000013
Minnesota,Nebraska,3.0000000000000013
Boston College,North Carolina State,3.0000000000000013
Buffalo,Ohio,9.666666666666668
Oklahoma State,Texas,3.6666666666666656
Pittsburgh,Virginia Tech,3.6666666666666656
Iowa,Purdue,23.000000000000004
Texas-San Antonio,Rice,29.666666666666668
Rutgers,Northwestern,3.6666666666666656
Washington State,Stanford,3.0000000000000013
Texas A&M,Missouri,3.6666666666666656
Oklahoma,Texas Christian,23.000000000000004
Texas Tech,Kansas,17.0
Central Michigan,Toledo,3.0000000000000013
Troy,Texas State,3.6666666666666656
Tulsa,South Florida,3.666666666666667
UCLA,Washington,10.333333333333332
Utah State,Nevada-Las Vegas,17.0
South Carolina,Vanderbilt,9.666666666666668
Old Dominion,Western Kentucky,3.0
Connecticut,Yale,
