RANK,TEAM,CONFERENCE,POINTS
1,Clemson,ACC,10.9756
2,Alabama,SEC,9.794
3,Ohio State,BIG-TEN,7.3792
4,Utah State,MWC,7.272
5,Georgia,SEC,7.1362000000000005
6,Appalachian State,SUN-BELT,6.9324
7,Fresno State,MWC,6.670599999999999
8,Cincinnati,AMERICAN,6.541
9,Oklahoma,BIG-12,6.524600000000001
10,UCF,AMERICAN,6.513600000000001
11,Michigan,BIG-TEN,6.4494
12,Notre Dame,INDEPENDENT,6.068199999999999
13,Washington State,PAC-12,5.8646
14,Florida,SEC,5.6822
15,Mississippi State,SEC,5.6488000000000005
16,Army,INDEPENDENT,5.4754
17,Washington,PAC-12,5.196000000000001
18,UAB,CUSA,5.183
19,Boise State,MWC,5.1658
20,West Virginia,BIG-12,5.1452
21,Iowa,BIG-TEN,5.1162
22,Texas A&M,SEC,5.0484
23,Penn State,BIG-TEN,5.0106
24,Syracuse,ACC,4.945400000000001
25,Ohio,MAC,4.931
26,LSU,SEC,4.8286
27,Missouri,SEC,4.565600000000001
28,North Texas,CUSA,4.289000000000001
29,Kentucky,SEC,4.280799999999999
30,Utah,PAC-12,4.279400000000001
31,Memphis,AMERICAN,4.237
32,Auburn,SEC,4.1308
33,North Carolina State,ACC,4.0912
34,Oregon,PAC-12,4.0758
35,Buffalo,MAC,3.9620000000000006
36,Wisconsin,BIG-TEN,3.9286
37,Miami (FL),ACC,3.843
38,Troy,SUN-BELT,3.8276000000000003
39,Texas,BIG-12,3.728
40,Virginia,ACC,3.717
41,Florida International,CUSA,3.608
42,Georgia Southern,SUN-BELT,3.3774
43,Arkansas State,SUN-BELT,3.309
44,Marshall,CUSA,3.2839999999999994
45,Temple,AMERICAN,3.2406
46,Oklahoma State,BIG-12,3.0649999999999995
47,Southern Mississippi,CUSA,3.0494000000000003
48,Toledo,MAC,3.0079999999999996
49,Houston,AMERICAN,2.8555999999999995
50,BYU,INDEPENDENT,2.8552000000000004
51,Iowa State,BIG-12,2.8320000000000007
52,Stanford,PAC-12,2.8270000000000004
53,Georgia Tech,ACC,2.7916000000000003
54,Arizona State,PAC-12,2.689
55,Boston College,ACC,2.6735999999999995
56,Nevada,MWC,2.6720000000000006
57,Texas Tech,BIG-12,2.5013999999999994
58,Eastern Michigan,MAC,2.408
59,Michigan State,BIG-TEN,2.3906000000000005
60,Northwestern,BIG-TEN,2.2794
61,Louisiana Tech,CUSA,2.262
62,Air Force,MWC,2.191
63,California,PAC-12,2.1540000000000004
64,Duke,ACC,2.1356
65,South Carolina,SEC,2.0828000000000007
66,Texas Christian,BIG-12,2.0662
67,Minnesota,BIG-TEN,1.9509999999999996
68,Middle Tennessee State,CUSA,1.9336
69,Baylor,BIG-12,1.7062000000000006
70,Miami (OH),MAC,1.6640000000000001
71,Purdue,BIG-TEN,1.6072000000000002
72,Western Michigan,MAC,1.5340000000000003
73,Wake Forest,ACC,1.4798000000000002
74,Vanderbilt,SEC,1.4793999999999998
75,Florida Atlantic,CUSA,1.4096
76,San Diego State,MWC,1.3676000000000001
77,Pitt,ACC,1.3298000000000005
78,Arizona,PAC-12,1.3058000000000003
79,Colorado,PAC-12,1.2768000000000006
80,Tulane,AMERICAN,1.2388000000000003
81,Virginia Tech,ACC,1.2356
82,Maryland,BIG-TEN,1.1508000000000003
83,Ole Miss,SEC,1.1019999999999992
84,Wyoming,MWC,1.0670000000000002
85,USC,PAC-12,1.0552000000000004
86,Nebraska,BIG-TEN,1.03
87,Louisiana,SUN-BELT,0.9489999999999995
88,South Florida,AMERICAN,0.9086000000000001
89,Northern Illinois,MAC,0.8780000000000001
90,Hawaii,MWC,0.7122
91,Indiana,BIG-TEN,0.6590000000000001
92,Charlotte,CUSA,0.30799999999999983
93,Kansas State,BIG-12,0.2196000000000004
94,Louisiana-Monroe,SUN-BELT,0.18200000000000033
95,Liberty,INDEPENDENT,1.214306433183765e-16
96,Tennessee,SEC,-0.07159999999999977
97,SMU,AMERICAN,-0.07739999999999961
98,Old Dominion,CUSA,-0.3635999999999996
99,Tulsa,AMERICAN,-0.5387999999999998
100,North Carolina,ACC,-0.7060000000000002
101,Coastal Carolina,SUN-BELT,-0.7550000000000006
102,Kansas,BIG-12,-0.7811999999999999
103,Florida State,ACC,-0.8108000000000001
104,Ball State,MAC,-0.8647999999999997
105,Western Kentucky,CUSA,-1.0042
106,UCLA,PAC-12,-1.1184
107,Nevada-Las Vegas,MWC,-1.1351999999999993
108,Texas State,SUN-BELT,-1.1749999999999998
109,Massachusetts,INDEPENDENT,-1.2156
110,Akron,MAC,-1.364
111,Navy,AMERICAN,-1.4011999999999998
112,East Carolina,AMERICAN,-1.8725999999999994
113,Colorado State,MWC,-1.9271999999999994
114,Illinois,BIG-TEN,-2.0689999999999995
115,New Mexico,MWC,-2.2874000000000003
116,Arkansas,SEC,-2.3629999999999995
117,Kent State,MAC,-2.3686000000000007
118,South Alabama,SUN-BELT,-2.5629999999999993
119,Central Michigan,MAC,-2.688
120,Bowling Green State,MAC,-2.7412
121,Georgia State,SUN-BELT,-2.795
122,New Mexico State,INDEPENDENT,-2.9229999999999996
123,UTEP,CUSA,-3.0629999999999997
124,Rice,CUSA,-3.4675999999999996
125,San Jose State,MWC,-3.8257999999999996
126,UTSA,CUSA,-3.8289999999999993
127,Oregon State,PAC-12,-3.843
128,Rutgers,BIG-TEN,-3.862399999999999
129,Louisville,ACC,-4.5796
130,Connecticut,AMERICAN,-6.5156
