WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Southern Methodist,Houston,34.784,3,31.784,True
Southern California,Colorado,19.527999999999995,4,15.527999999999995,True
Air Force,Utah State,12.78266666666667,24,-11.21733333333333,True
Alabama,Arkansas,65.128,41,24.128,True
Appalachian State,South Alabama,51.75066666666666,27,24.75066666666666,True
Arkansas State,Texas State,6.513333333333333,24,-17.486666666666668,True
Buffalo,Central Michigan,-1.9346666666666683,23,-24.93466666666667,False
Central Florida,Temple,23.27199999999999,42,-18.72800000000001,True
Charlotte,North Texas,-9.773333333333337,1,-10.773333333333337,False
Clemson,Boston College,43.102666666666664,52,-8.897333333333336,True
Colorado State,Fresno State,-11.809333333333333,10,-21.809333333333335,False
Connecticut,Massachusetts,13.603999999999992,21,-7.396000000000008,True
Florida Atlantic,Old Dominion,20.99733333333333,38,-17.00266666666667,True
Florida State,Syracuse,2.5906666666666713,18,-15.409333333333329,True
Georgia Southern,New Mexico State,26.51866666666667,34,-7.481333333333328,True
Georgia State,Troy,-3.5466666666666713,19,-22.54666666666667,False
Hawaii,New Mexico,20.465333333333334,14,6.465333333333334,True
Illinois,Purdue,-1.4826666666666688,18,-19.48266666666667,False
Indiana,Nebraska,22.492,7,15.492,True
Iowa,Northwestern,43.46266666666667,20,23.46266666666667,True
Kansas,Texas Tech,-14.697333333333335,3,-17.697333333333333,False
Kansas State,Oklahoma,-38.61866666666667,7,-45.61866666666667,False
Kentucky,Missouri,-35.82666666666666,22,-57.82666666666666,False
Louisiana State,Auburn,22.528000000000002,3,19.528000000000002,True
Louisiana Tech,Texas-El Paso,42.196,21,21.195999999999998,True
Louisville,Virginia,-14.232000000000003,7,-21.232000000000003,False
Marshall,Western Kentucky,-2.541333333333335,3,-5.541333333333335,False
Memphis,Tulsa,39.244,1,38.244,True
Miami (FL),Pittsburgh,3.12,4,-0.8799999999999999,True
Miami (OH),Kent State,-11.01333333333333,7,-18.01333333333333,False
Michigan,Notre Dame,-9.808000000000003,31,-40.80800000000001,False
Middle Tennessee State,Florida International,-27.224,33,-60.224000000000004,False
Minnesota,Maryland,21.384000000000004,42,-20.615999999999996,True
Navy,Tulane,13.373333333333335,3,10.373333333333335,True
North Carolina,Duke,0.18666666666666684,3,-2.813333333333333,True
Northern Illinois,Akron,28.774666666666665,49,-20.225333333333335,True
Ohio,Ball State,-20.23333333333334,13,-33.23333333333334,False
Ohio State,Wisconsin,17.76133333333332,31,-13.238666666666681,True
Oklahoma State,Iowa State,-17.001333333333342,7,-24.001333333333342,False
Oregon,Washington State,22.366666666666664,2,20.366666666666664,True
Penn State,Michigan State,37.022666666666666,21,16.022666666666666,True
Rutgers,Liberty,-43.64399999999999,10,-53.64399999999999,False
San Diego State,Nevada-Las Vegas,30.880000000000006,3,27.880000000000006,True
San Jose State,Army,-9.626666666666662,5,-14.626666666666662,False
South Florida,East Carolina,-7.3786666666666685,25,-32.37866666666667,False
Southern Mississippi,Rice,23.45333333333333,14,9.45333333333333,True
Stanford,Arizona,-10.206666666666667,10,-20.206666666666667,False
Tennessee,South Carolina,-10.277333333333333,20,-30.27733333333333,False
Texas A&M,Mississippi State,23.900000000000002,19,4.900000000000002,True
Texas Christian,Texas,8.443999999999997,10,-1.5560000000000027,True
Toledo,Eastern Michigan,7.1333333333333355,3,4.1333333333333355,True
UCLA,Arizona State,-17.44666666666667,10,-27.44666666666667,False
Utah,California,41.73866666666667,35,6.738666666666667,True
Western Michigan,Bowling Green State,40.42666666666666,39,1.4266666666666623,True
Wyoming,Nevada,30.77066666666667,28,2.7706666666666706,True
