RANK,TEAM,CONFERENCE,WINS,LOSSES,POINTS
72,South Alabama,SUN-BELT,3,2,4.76752466705376
73,Florida State,ACC,2,4,4.01848273282365
74,Old Dominion,CUSA,1,5,3.8421607348782043
75,Wyoming,MWC,4,1,3.6494457044390054
76,Utah State,MWC,3,2,3.633648710350208
77,Washington,PAC-12,2,3,3.5163585069399326
78,Louisiana Tech,CUSA,2,3,3.3623930971362723
79,USC,PAC-12,3,3,3.3422255512337875
80,Central Michigan,MAC,3,3,3.1973051831076393
81,East Carolina,AMERICAN,3,3,3.170309330719432
82,Rutgers,BIG-TEN,3,3,3.1534336016619404
83,Louisiana,SUN-BELT,4,1,2.773877747716334
84,Maryland,BIG-TEN,4,2,2.151792761574377
85,South Carolina,SEC,3,3,2.118709845684383
86,Toledo,MAC,3,3,2.1111572007968267
87,California,PAC-12,1,4,1.7737308483123688
88,Charlotte,CUSA,4,2,1.5817046547006248
89,Kent State,MAC,3,3,1.5337236035476556
90,Illinois,BIG-TEN,2,5,1.412073470804878
91,Texas A&M,SEC,4,2,1.1625728357564902
92,Indiana,BIG-TEN,2,3,0.8740744835616221
93,Washington State,PAC-12,3,3,0.4747947787620183
94,Navy,AMERICAN,1,4,0.3355759657665087
95,Rice,CUSA,2,3,-0.2811118057104306
96,Northern Illinois,MAC,4,2,-0.33043364511464757
97,Hawaii,MWC,3,3,-0.3655874584151684
98,Temple,AMERICAN,3,3,-0.41007818585484657
99,Northwestern,BIG-TEN,2,3,-0.5434063094675419
100,Missouri,SEC,3,3,-0.8559817629638599
101,Buffalo,MAC,2,4,-1.1384540354780275
102,Eastern Michigan,MAC,4,2,-1.2418737938039248
103,Middle Tennessee State,CUSA,2,4,-1.285603615058722
104,Miami (OH),MAC,2,4,-1.5198329167956492
105,Ball State,MAC,3,3,-1.8194833444279244
106,LSU,SEC,3,3,-1.8852905063991736
107,Stanford,PAC-12,3,3,-2.05799812521143
108,Florida International,CUSA,1,5,-2.2661000337305075
109,Arizona,PAC-12,0,5,-2.8127607696608434
110,San Jose State,MWC,3,3,-3.379007600106646
111,Southern Mississippi,CUSA,1,5,-3.4016987086712813
112,New Mexico,MWC,2,4,-3.4476950002183777
113,Tulsa,AMERICAN,2,4,-3.44913574035361
114,Colorado,PAC-12,1,4,-4.969747967439384
115,Texas State,SUN-BELT,2,3,-4.976163346409482
116,Tulane,AMERICAN,1,5,-5.300786260424327
117,Bowling Green State,MAC,2,4,-5.64085314005745
118,Georgia Southern,SUN-BELT,2,4,-5.886343012579229
119,Georgia State,SUN-BELT,2,4,-6.1904963228409855
120,Ohio,MAC,1,5,-6.191566509409772
121,South Florida,AMERICAN,1,4,-6.2719789008119555
122,Akron,MAC,2,4,-6.528193430114584
123,Kansas,BIG-12,1,4,-7.427655094867005
124,New Mexico State,INDEPENDENT,1,6,-7.659356478837861
125,Massachusetts,INDEPENDENT,1,5,-7.874088347422076
126,Nevada-Las Vegas,MWC,0,5,-7.896572098502514
127,Louisiana-Monroe,SUN-BELT,2,3,-9.06475820704482
128,Arkansas State,SUN-BELT,1,5,-9.907906489451197
129,Vanderbilt,SEC,2,4,-10.79154296032865
130,Connecticut,INDEPENDENT,0,7,-18.734706269137238
