RANK,TEAM,CONFERENCE,WINS,LOSSES,POINTS
1,Syracuse,ACC,3,3,37.62772263693958
2,Miami (FL),ACC,2,3,37.26059453118999
3,Virginia,ACC,4,2,36.14747458418524
4,Virginia Tech,ACC,3,2,36.08938654736408
5,North Carolina,ACC,3,3,35.69834264262405
6,Duke,ACC,3,3,35.02788886957147
7,Clemson,ACC,3,2,32.04066730091292
8,Pitt,ACC,4,1,31.414490901709193
9,Western Michigan,MAC,4,2,30.20298998483801
10,Oklahoma,BIG-12,6,0,20.615545235107696
11,Wake Forest,ACC,6,0,19.26901079023366
12,Georgia,SEC,6,0,19.217501732145344
13,North Carolina State,ACC,4,1,17.343453229993525
14,Ohio State,BIG-TEN,5,1,17.0124704998557
15,Michigan,BIG-TEN,6,0,16.906877152482988
16,San Diego State,MWC,5,0,16.206962902722246
17,Coastal Carolina,SUN-BELT,6,0,15.696318629587118
18,Alabama,SEC,5,1,14.971790335152582
19,Ole Miss,SEC,4,1,14.701454026791103
20,Air Force,MWC,5,1,14.61493296363629
21,Cincinnati,AMERICAN,5,0,14.335362666594232
22,Texas,BIG-12,4,2,13.856399277318806
23,Iowa State,BIG-12,3,2,13.773230026012701
24,Iowa,BIG-TEN,6,0,13.75490487529445
25,SMU,AMERICAN,6,0,13.666752720499774
26,Texas Christian,BIG-12,3,2,12.984713460919679
27,Texas Tech,BIG-12,4,2,12.937793932368338
28,Army,INDEPENDENT,4,1,12.77226995337498
29,Liberty,INDEPENDENT,5,1,12.244141519985586
30,Boise State,MWC,3,3,12.182791837540288
31,Florida,SEC,4,2,11.700470784754145
32,Notre Dame,INDEPENDENT,5,1,11.62735210286699
33,Kansas State,BIG-12,3,2,11.498594582712597
34,Michigan State,BIG-TEN,6,0,11.338691956243654
35,Nevada,MWC,4,1,10.965795054632604
36,Tennessee,SEC,4,2,10.755689653622888
37,Georgia Tech,ACC,3,3,10.667983869570875
38,Oregon,PAC-12,4,1,10.20425767576243
39,Oklahoma State,BIG-12,5,0,10.16463286618133
40,Wisconsin,BIG-TEN,2,3,9.963371073996687
41,UTSA,CUSA,6,0,9.643897221685595
42,Boston College,ACC,4,1,9.466390304647563
43,UTEP,CUSA,5,1,9.420555174615993
44,Marshall,CUSA,3,3,9.24605264891991
45,Nebraska,BIG-TEN,3,4,8.980108030294028
46,Fresno State,MWC,4,2,8.950813360647986
47,Baylor,BIG-12,5,1,8.930905664013578
48,Arizona State,PAC-12,5,1,8.925238787804586
49,Appalachian State,SUN-BELT,4,1,8.842215972488091
50,Mississippi State,SEC,3,2,8.702239654744764
51,Louisville,ACC,3,3,8.412862763291688
52,Purdue,BIG-TEN,3,2,8.369084081938077
53,Kentucky,SEC,6,0,7.85041771791287
54,Utah,PAC-12,3,2,7.728741511725298
55,Colorado State,MWC,2,3,7.707610572792016
56,Houston,AMERICAN,5,1,7.565574827921466
57,Florida Atlantic,CUSA,3,3,7.402247242652811
58,BYU,INDEPENDENT,5,1,7.253415149707028
59,North Texas,CUSA,1,4,6.897786265017222
60,Oregon State,PAC-12,4,2,6.612920270451679
61,West Virginia,BIG-12,2,4,6.4671053376485315
62,Western Kentucky,CUSA,1,4,6.412266539962825
63,UAB,CUSA,4,2,6.38642144203671
64,Arkansas,SEC,4,2,6.316831162350962
65,UCLA,PAC-12,4,2,6.176176784692473
66,Memphis,AMERICAN,3,3,5.671755875963509
67,Penn State,BIG-TEN,5,1,5.430021366141392
68,UCF,AMERICAN,3,2,5.42227056529397
69,Minnesota,BIG-TEN,3,2,5.2670241559972295
70,Troy,SUN-BELT,3,3,4.98549508338442
71,Auburn,SEC,4,2,4.969028707095276
