WINNER,LOSER,DIFFERENCE
Ohio,Akron,40.56666666666667
Western Michigan,Northern Illinois,20.657333333333334
Mississippi State,Mississippi,3.0213333333333336
Arizona State,Arizona,19.231999999999996
Boise State,Colorado State,28.128
Buffalo,Bowling Green State,47.95733333333334
Memphis,Cincinnati,17.834666666666674
Iowa,Nebraska,15.526666666666666
Eastern Michigan,Kent State,11.757333333333333
Ball State,Miami (OH),8.97733333333333
Central Florida,South Florida,49.46933333333333
Texas,Texas Tech,8.90933333333334
Central Michigan,Toledo,15.197333333333333
Virginia,Virginia Tech,6.1440000000000135
Washington,Washington State,2.2493333333333316
Texas Christian,West Virginia,28.769333333333332
Alabama,Auburn,21.41466666666666
Alabama-Birmingham,North Texas,16.580000000000002
Appalachian State,Troy,25.86533333333333
Arkansas State,South Alabama,20.669333333333334
Army,Hawaii,1.4813333333333272
Baylor,Kansas,42.660000000000004
Pittsburgh,Boston College,12.994666666666665
San Diego State,Brigham Young,5.4426666666666685
California,UCLA,3.757333333333331
Charlotte,Old Dominion,23.273333333333333
Clemson,South Carolina,64.21333333333334
Utah,Colorado,58.07733333333333
Temple,Connecticut,41.69733333333333
Marshall,Florida International,10.445333333333334
Florida,Florida State,32.24266666666667
San Jose State,Fresno State,2.173333333333336
Georgia,Georgia Tech,60.92400000000001
Georgia State,Georgia Southern,2.308000000000005
Indiana,Purdue,25.314666666666668
Iowa State,Kansas State,4.880000000000004
Louisiana,Louisiana-Monroe,50.574666666666666
Kentucky,Louisville,7.110666666666665
Michigan State,Maryland,24.550666666666668
Miami (FL),Duke,24.173333333333336
Western Kentucky,Middle Tennessee State,22.05733333333334
Missouri,Arkansas,35.352
Navy,Houston,33.45066666666667
Nevada,Nevada-Las Vegas,8.330666666666666
Liberty,New Mexico State,39.211999999999996
North Carolina,North Carolina State,14.046666666666669
Illinois,Northwestern,23.64
Notre Dame,Stanford,41.794666666666664
Ohio State,Michigan,33.79733333333334
Oklahoma,Oklahoma State,23.041333333333323
Oregon,Oregon State,41.83866666666666
Rice,Texas-El Paso,5.350666666666667
Penn State,Rutgers,77.48400000000002
Florida Atlantic,Southern Mississippi,10.073333333333332
Louisiana State,Texas A&M,30.177333333333323
Coastal Carolina,Texas State,26.741333333333337
Louisiana Tech,Texas-San Antonio,41.162666666666674
Southern Methodist,Tulane,10.121333333333336
East Carolina,Tulsa,5.132000000000003
Utah State,New Mexico,21.929333333333332
Tennessee,Vanderbilt,34.85600000000001
Wake Forest,Syracuse,20.168000000000006
Wisconsin,Minnesota,4.352
Air Force,Wyoming,20.362666666666676
