WINNER,LOSER,DIFFERENCE
Northern Illinois,Eastern Michigan,2.681333333333336
Ohio,Bowling Green State,23.127999999999993
Miami (OH),Akron,38.12933333333333
Buffalo,Toledo,12.696
North Carolina State,Georgia Tech,16.20266666666667
Wyoming,Colorado State,10.401333333333335
Mississippi State,Abilene Christian,
Air Force,New Mexico,46.55333333333333
Louisiana State,Arkansas,74.14
Ball State,Kent State,13.557333333333332
Boise State,Utah State,22.112000000000002
Notre Dame,Boston College,29.425333333333334
Brigham Young,Massachusetts,58.903999999999996
Stanford,California,0.35866666666667046
Central Florida,Tulane,17.464000000000002
Coastal Carolina,Louisiana-Monroe,9.828000000000003
Wake Forest,Duke,20.828000000000003
East Carolina,Connecticut,21.103999999999996
Vanderbilt,East Tennessee State,
Florida Atlantic,Texas-San Antonio,32.924
Arkansas State,Georgia Southern,3.2226666666666675
Tulsa,Houston,3.287999999999999
Iowa,Illinois,20.64533333333333
Iowa State,Kansas,41.693333333333335
Kansas State,Texas Tech,8.988000000000003
Virginia,Liberty,10.637333333333341
Louisiana Tech,Alabama-Birmingham,0.9293333333333287
Marshall,Charlotte,10.952
Memphis,South Florida,29.961333333333343
North Carolina,Mercer,
Miami (FL),Florida International,16.780000000000005
Michigan,Indiana,4.67733333333334
Michigan State,Rutgers,32.656000000000006
Minnesota,Northwestern,45.098666666666674
Nebraska,Maryland,6.287999999999999
Fresno State,Nevada,16.136
North Texas,Rice,20.156000000000006
Oklahoma State,West Virginia,31.72666666666667
Middle Tennessee State,Old Dominion,16.582666666666665
Oregon,Arizona State,36.82933333333333
Washington State,Oregon State,20.09066666666666
Ohio State,Penn State,37.30533333333333
Virginia Tech,Pittsburgh,3.849333333333339
Wisconsin,Purdue,47.614666666666665
Auburn,Samford,
San Diego State,Hawaii,3.9333333333333416
San Jose State,Nevada-Las Vegas,11.83333333333334
Georgia State,South Alabama,26.91466666666667
Navy,Southern Methodist,4.9026666666666685
Louisville,Syracuse,12.477333333333327
Cincinnati,Temple,15.585333333333338
Missouri,Tennessee,14.773333333333335
Kentucky,Tennessee-Martin,
Baylor,Texas,20.521333333333335
Georgia,Texas A&M,18.829333333333327
Oklahoma,Texas Christian,33.654666666666664
Appalachian State,Texas State,57.44666666666667
Texas-El Paso,New Mexico State,1.674666666666663
Louisiana,Troy,24.07733333333334
Southern California,UCLA,25.102666666666675
Utah,Arizona,49.88666666666667
Washington,Colorado,27.977333333333323
Alabama,Western Carolina,
Southern Mississippi,Western Kentucky,7.330666666666671
