WINNER,LOSER,DIFFERENCE
Navy,Memphis,7.5080000000000116
California,Arizona State,0.48933333333333273
Virginia Tech,Duke,2.5093333333333385
Maryland,Penn State,10.999999999999991
Air Force,San Jose State,23.370666666666665
Akron,Massachusetts,7.606666666666667
Alabama-Birmingham,Western Kentucky,29.14666666666667
Texas A&M,Arkansas,28.520000000000003
Troy,Arkansas State,44.52533333333334
Toledo,Brigham Young,30.61466666666667
Buffalo,Miami (OH),34.65333333333333
Western Michigan,Central Michigan,23.72133333333333
Marshall,Cincinnati,16.704000000000004
Clemson,North Carolina,49.76133333333333
Coastal Carolina,Appalachian State,9.386666666666663
Utah State,Colorado State,36.024
Central Florida,Connecticut,68.31466666666667
Pittsburgh,Delaware,
East Carolina,Old Dominion,5.778666666666664
Charlotte,Florida Atlantic,14.469333333333333
Fresno State,New Mexico State,44.98133333333333
Temple,Georgia Tech,45.48266666666667
Hawaii,Nevada,8.179999999999998
Syracuse,Holy Cross,
North Texas,Houston,25.500000000000004
Michigan State,Indiana,11.956000000000001
Baylor,Iowa State,21.034666666666666
Texas Christian,Kansas,24.574666666666666
Kansas State,Oklahoma State,16.910666666666675
South Carolina,Kentucky,1.6373333333333306
Louisiana,Georgia Southern,64.32666666666668
Louisiana Tech,Rice,34.472
Iowa,Middle Tennessee State,49.17866666666667
Minnesota,Purdue,11.153333333333338
Alabama,Mississippi,58.330666666666666
Auburn,Mississippi State,15.503999999999998
Wyoming,Nevada-Las Vegas,9.9
Liberty,New Mexico,21.067999999999998
Texas State,Nicholls State,
North Carolina State,Florida State,24.53333333333333
Northern Illinois,Vanderbilt,14.697333333333331
Wisconsin,Northwestern,80.44133333333333
Ohio State,Nebraska,42.21333333333333
Michigan,Rutgers,15.36266666666667
Louisiana-Monroe,South Alabama,6.461333333333331
Washington,Southern California,22.445333333333334
Southern Methodist,South Florida,34.641333333333336
Oregon State,Stanford,27.990666666666662
Oklahoma,Texas Tech,30.561333333333334
Southern Mississippi,Texas-El Paso,18.217333333333332
Florida,Towson,
Arizona,UCLA,46.412000000000006
Notre Dame,Virginia,3.5800000000000054
Wake Forest,Boston College,17.705333333333336
Washington State,Utah,6.014666666666659
