WINNER,LOSER,DIFFERENCE
South Alabama,Georgia Southern,9.325333333333337
Temple,East Carolina,20.28666666666667
Central Florida,Cincinnati,29.729333333333336
San Jose State,New Mexico,15.082666666666666
Navy,Air Force,12.409333333333343
Arizona,Colorado,7.117333333333337
Arkansas State,Georgia State,4.687999999999998
Florida,Auburn,8.328000000000001
Ball State,Northern Illinois,12.891999999999996
Baylor,Kansas State,9.230666666666671
Boise State,Nevada-Las Vegas,40.60666666666666
Louisville,Boston College,6.082666666666669
Notre Dame,Bowling Green State,60.023999999999994
Oregon,California,40.27600000000001
Eastern Michigan,Central Michigan,5.789333333333334
Georgia,Tennessee,50.026666666666664
Minnesota,Illinois,6.570666666666666
Iowa,Michigan,18.94
Wisconsin,Kent State,70.31066666666666
Liberty,New Mexico State,43.368
Marshall,Middle Tennessee State,22.12933333333333
Maryland,Rutgers,43.30266666666666
Florida International,Massachusetts,24.460000000000004
Memphis,Louisiana-Monroe,41.12666666666666
Ohio State,Michigan State,36.76
North Carolina,Georgia Tech,20.184
Nebraska,Northwestern,23.196
Buffalo,Ohio,13.256
Oklahoma,Kansas,67.32666666666667
Oklahoma State,Texas Tech,18.157333333333334
Oregon State,UCLA,24.264
Duke,Pittsburgh,16.972000000000005
Penn State,Purdue,72.13866666666667
Alabama-Birmingham,Rice,47.30933333333333
San Diego State,Colorado State,15.326666666666666
South Florida,Connecticut,6.575999999999995
Texas,West Virginia,20.806666666666658
Texas Christian,Iowa State,14.474666666666671
Texas-El Paso,Texas-San Antonio,2.824
Missouri,Troy,27.64
Tulane,Army,5.519999999999996
Southern Methodist,Tulsa,40.92933333333333
Louisiana State,Utah State,31.775999999999996
Mississippi,Vanderbilt,27.22266666666666
Miami (FL),Virginia Tech,34.56933333333335
Washington,Stanford,41.65066666666667
Western Kentucky,Old Dominion,2.0199999999999996
Toledo,Western Michigan,0.8413333333333295
