WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Virginia,Miami (FL),-3.0000000000000013,2,-5.000000000000002,False
Brigham Young,Utah State,3.6666666666666656,14,-10.333333333333334,True
Houston,Tulsa,10.333333333333334,35,-24.666666666666664,True
Iowa,Maryland,-3.0000000000000013,37,-40.0,False
Air Force,New Mexico,3.6666666666666656,28,-24.333333333333336,True
Alabama,Mississippi,9.666666666666668,21,-11.333333333333332,True
Appalachian State,Georgia State,10.333333333333334,29,-18.666666666666664,True
Arizona State,UCLA,-3.0000000000000013,19,-22.0,False
Auburn,Louisiana State,-3.0000000000000013,5,-8.000000000000002,False
Ball State,Army,-17.0,12,-29.0,False
Cincinnati,Notre Dame,-9.666666666666668,11,-20.666666666666668,False
Clemson,Boston College,-10.333333333333332,6,-16.333333333333332,False
Coastal Carolina,Louisiana-Monroe,16.333333333333336,53,-36.666666666666664,True
East Carolina,Tulane,9.666666666666668,23,-13.333333333333332,True
Florida Atlantic,Florida International,9.666666666666668,37,-27.333333333333332,True
Florida State,Syracuse,-17.0,3,-20.0,False
Georgia,Arkansas,3.0000000000000013,37,-34.0,True
Georgia Southern,Arkansas State,3.0,26,-23.0,True
Hawaii,Fresno State,-10.333333333333332,3,-13.333333333333332,False
Illinois,Charlotte,-10.333333333333334,10,-20.333333333333336,False
Iowa State,Kansas,9.666666666666668,52,-42.33333333333333,True
Kent State,Bowling Green State,-3.666666666666667,7,-10.666666666666668,False
Kentucky,Florida,9.666666666666668,7,2.666666666666668,True
Liberty,Alabama-Birmingham,-3.0000000000000013,24,-27.0,False
Louisiana,South Alabama,-3.0000000000000013,2,-5.000000000000002,False
Miami (OH),Central Michigan,-3.666666666666667,11,-14.666666666666668,False
Michigan,Wisconsin,17.0,21,-4.0,True
Michigan State,Western Kentucky,23.000000000000004,17,6.0000000000000036,True
Middle Tennessee State,Marshall,-3.666666666666667,6,-9.666666666666668,False
Minnesota,Purdue,-9.666666666666668,7,-16.666666666666668,False
Mississippi State,Texas A&M,-9.666666666666668,4,-13.666666666666668,False
Navy,Central Florida,-10.333333333333334,4,-14.333333333333334,False
Nebraska,Northwestern,3.0000000000000013,49,-46.0,True
Nevada,Boise State,-3.0000000000000013,10,-13.000000000000002,False
North Carolina,Duke,-3.6666666666666656,31,-34.666666666666664,False
North Carolina State,Louisiana Tech,9.666666666666668,7,2.666666666666668,True
Northern Illinois,Eastern Michigan,-3.6666666666666656,7,-10.666666666666666,False
Ohio,Akron,-9.666666666666666,17,-26.666666666666664,False
Ohio State,Rutgers,-3.0000000000000013,39,-42.0,False
Oklahoma,Kansas State,3.6666666666666656,6,-2.3333333333333344,True
Oklahoma State,Baylor,3.0000000000000013,10,-6.999999999999998,True
Oregon State,Washington,9.666666666666668,3,6.666666666666668,True
Penn State,Indiana,16.333333333333336,24,-7.666666666666664,True
Pittsburgh,Georgia Tech,3.6666666666666656,31,-27.333333333333336,True
Rice,Southern Mississippi,3.0,5,-2.0,True
San Jose State,New Mexico State,9.666666666666668,6,3.666666666666668,True
South Carolina,Troy,3.0000000000000013,9,-5.999999999999998,True
Southern California,Colorado,3.666666666666667,23,-19.333333333333332,True
Southern Methodist,South Florida,23.000000000000004,24,-0.9999999999999964,True
Stanford,Oregon,-10.333333333333332,7,-17.333333333333332,False
Temple,Memphis,-3.6666666666666656,3,-6.666666666666666,False
Tennessee,Missouri,-3.0000000000000013,38,-41.0,False
Texas,Texas Christian,3.6666666666666656,5,-1.3333333333333344,True
Texas Tech,West Virginia,3.6666666666666656,3,0.6666666666666656,True
Texas-El Paso,Old Dominion,16.333333333333336,7,9.333333333333336,True
Texas-San Antonio,Nevada-Las Vegas,29.666666666666668,7,22.666666666666668,True
Toledo,Massachusetts,10.333333333333334,38,-27.666666666666664,True
Vanderbilt,Connecticut,9.666666666666666,2,7.666666666666666,True
Wake Forest,Louisville,9.666666666666668,3,6.666666666666668,True
Washington State,California,-3.0,15,-18.0,False
Western Michigan,Buffalo,3.6666666666666656,7,-3.3333333333333344,True
