WINNER,LOSER,DIFFERENCE
Coastal Carolina,Arkansas State,23.666666666666668
Houston,Tulane,17.0
Charlotte,Florida International,10.333333333333334
Arizona State,Stanford,9.666666666666668
Cincinnati,Temple,9.666666666666668
Bowling Green State,Akron,9.666666666666668
Alabama,Texas A&M,10.333333333333332
Arkansas,Mississippi,3.6666666666666656
Western Michigan,Ball State,16.333333333333336
Brigham Young,Boise State,23.000000000000004
Kent State,Buffalo,3.0000000000000013
Central Michigan,Ohio,3.666666666666667
Massachusetts,Connecticut,3.0
East Carolina,Central Florida,3.6666666666666656
Alabama-Birmingham,Florida Atlantic,3.0000000000000013
North Carolina,Florida State,16.333333333333336
Georgia,Auburn,3.6666666666666656
Troy,Georgia Southern,3.0000000000000013
Louisiana-Monroe,Georgia State,9.666666666666668
Duke,Georgia Tech,9.666666666666668
Kentucky,Louisiana State,16.333333333333336
Ohio State,Maryland,3.0000000000000013
Memphis,Tulsa,10.333333333333334
Eastern Michigan,Miami (OH),9.666666666666668
Michigan,Nebraska,10.333333333333332
Michigan State,Rutgers,10.333333333333332
Liberty,Middle Tennessee State,16.333333333333336
San Diego State,New Mexico,16.333333333333336
Nevada,New Mexico State,16.333333333333336
Missouri,North Texas,9.666666666666668
Toledo,Northern Illinois,3.0000000000000013
Notre Dame,Virginia Tech,3.6666666666666656
Oklahoma,Texas,3.6666666666666656
Marshall,Old Dominion,9.666666666666668
Oregon State,Washington State,10.333333333333332
Iowa,Penn State,3.0000000000000013
San Jose State,Colorado State,10.333333333333334
South Alabama,Texas State,10.333333333333334
Tennessee,South Carolina,3.0000000000000013
Southern Methodist,Navy,23.666666666666668
Texas Tech,Texas Christian,16.333333333333336
Texas-El Paso,Southern Mississippi,17.0
Texas-San Antonio,Western Kentucky,23.666666666666668
UCLA,Arizona,17.0
Southern California,Utah,9.666666666666668
Florida,Vanderbilt,9.666666666666668
Louisville,Virginia,3.0000000000000013
Wake Forest,Syracuse,10.333333333333332
Baylor,West Virginia,16.333333333333336
Illinois,Wisconsin,9.666666666666668
Air Force,Wyoming,3.0000000000000013
