WINNER,LOSER,DIFFERENCE
Boise State,Marshall,15.545333333333339
Arizona State,Sacramento State,-6.666666666666667
Virginia,William & Mary,-6.666666666666667
Alabama-Birmingham,Akron,40.64666666666667
Mississippi,Arkansas,26.09999999999999
Arkansas State,Nevada-Las Vegas,26.627999999999997
Michigan,Army,9.493333333333336
Kansas State,Bowling Green State,22.73866666666667
Brigham Young,Tennessee,16.512000000000004
Penn State,Buffalo,9.990666666666666
Washington,California,23.280000000000005
Central Florida,Florida Atlantic,31.026666666666678
Wisconsin,Central Michigan,47.11066666666667
South Carolina,Charleston Southern,-6.666666666666667
Appalachian State,Charlotte,47.162666666666674
Ohio State,Cincinnati,8.588
Kansas,Coastal Carolina,2.825333333333338
Indiana,Eastern Illinois,-6.666666666666667
Louisville,Eastern Kentucky,-6.666666666666667
Kentucky,Eastern Michigan,15.485333333333331
Ball State,Fordham,-6.666666666666667
Georgia State,Furman,-6.666666666666667
East Carolina,Gardner-Webb,-6.666666666666667
Louisiana Tech,Grambling State,-6.666666666666667
Illinois,Connecticut,26.644000000000002
South Alabama,Jackson State,-6.666666666666667
Kent State,Kennesaw State,-6.666666666666667
Louisiana,Liberty,9.326666666666663
Louisiana State,Texas,4.337333333333333
Louisiana-Monroe,Florida State,3.6186666666666696
Georgia Southern,Maine,-6.666666666666667
Oklahoma State,McNeese State,-6.666666666666667
Miami (FL),North Carolina,27.326666666666668
Fresno State,Minnesota,34.464
Georgia,Murray State,-6.666666666666667
Colorado,Nebraska,4.645333333333337
Oregon,Nevada,12.358666666666664
Alabama,New Mexico State,87.78
Duke,North Carolina A&T,-6.666666666666667
North Texas,Southern Methodist,26.109333333333336
Arizona,Northern Arizona,-6.666666666666667
Washington State,Northern Colorado,-6.666666666666667
Utah,Northern Illinois,25.676000000000005
Ohio,Pittsburgh,21.007999999999996
Virginia Tech,Old Dominion,13.66133333333333
Hawaii,Oregon State,33.368
Houston,Prairie View A&M,-6.666666666666667
Boston College,Richmond,-6.666666666666667
Iowa,Rutgers,62.85733333333333
San Diego State,UCLA,13.573333333333338
Oklahoma,South Dakota,-6.666666666666667
Georgia Tech,South Florida,15.553333333333335
Memphis,Southern,-6.666666666666667
Massachusetts,Southern Illinois,-6.666666666666667
Mississippi State,Southern Mississippi,20.329333333333338
Stanford,Southern California,8.812000000000001
Utah State,Stony Brook,-6.666666666666667
Syracuse,Maryland,22.297333333333338
Middle Tennessee State,Tennessee State,-6.666666666666667
Miami (OH),Tennessee Tech,-6.666666666666667
Florida,Tennessee-Martin,-6.666666666666667
Clemson,Texas A&M,42.51466666666666
Texas Tech,Texas-El Paso,40.096
Baylor,Texas-San Antonio,39.90133333333333
Auburn,Tulane,22.279999999999998
Tulsa,San Jose State,18.913333333333334
Purdue,Vanderbilt,3.852000000000004
Wake Forest,Rice,29.982666666666667
West Virginia,Missouri,0.8639999999999937
North Carolina State,Western Carolina,-6.666666666666667
Colorado State,Western Illinois,-6.666666666666667
Florida International,Western Kentucky,33.748
Michigan State,Western Michigan,8.71066666666667
Wyoming,Texas State,11.946666666666667
