WINNER,LOSER,DIFFERENCE
Tulane,Houston,45.221333333333334
Air Force,Boise State,7.914666666666654
Utah,Southern California,20.62666666666667
Appalachian State,North Carolina,21.608000000000008
Texas A&M,Auburn,8.378666666666675
North Carolina State,Ball State,32.51333333333334
Baylor,Rice,95.86933333333333
Boston College,Rutgers,9.221333333333341
Bowling Green State,Kent State,19.70933333333333
California,Mississippi,1.1973333333333347
Hawaii,Central Arkansas,
Eastern Michigan,Central Connecticut State,
Central Florida,Pittsburgh,58.53066666666668
Miami (FL),Central Michigan,44.462666666666664
Clemson,Charlotte,29.10133333333334
Coastal Carolina,Massachusetts,68.03333333333333
Arizona State,Colorado,17.908000000000005
Indiana,Connecticut,18.856000000000005
Wake Forest,Elon,
Louisiana Tech,Florida International,20.102666666666668
Georgia State,Texas State,16.349333333333334
Liberty,Hampton,
Mississippi State,Kentucky,5.6666666666666705
Louisiana,Ohio,43.21333333333334
Louisiana State,Vanderbilt,86.95599999999999
Iowa State,Louisiana-Monroe,5.872000000000002
Louisville,Florida State,30.304
Ohio State,Miami (OH),74.68533333333333
Wisconsin,Michigan,64.85733333333334
Michigan State,Northwestern,29.07866666666667
Army,Morgan State,
Illinois,Nebraska,4.607999999999999
Texas-El Paso,Nevada,4.153333333333329
New Mexico,New Mexico State,28.09333333333333
Georgia,Notre Dame,22.970666666666677
Oklahoma State,Texas,9.141333333333328
Virginia,Old Dominion,44.516
Oregon,Stanford,53.95333333333333
Fresno State,Sacramento State,
Arkansas,San Jose State,19.980000000000004
Alabama-Birmingham,South Alabama,23.201333333333334
Missouri,South Carolina,31.529333333333348
Arkansas State,Southern Illinois,
Texas Christian,Southern Methodist,15.620000000000006
Alabama,Southern Mississippi,56.638666666666666
Temple,Buffalo,45.211999999999996
Florida,Tennessee,16.148000000000003
North Texas,Texas-San Antonio,16.553333333333338
Toledo,Colorado State,17.065333333333335
Troy,Akron,53.49333333333333
Washington State,UCLA,88.08933333333331
Utah State,San Diego State,18.958666666666666
Florida Atlantic,Wagner,
Washington,Brigham Young,37.07466666666666
Kansas,West Virginia,19.14666666666667
Western Michigan,Syracuse,47.96533333333334
East Carolina,William & Mary,
Wyoming,Tulsa,10.785333333333334
