WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Troy,South Alabama,28.374666666666673,24,4.374666666666673,True
Louisiana,Arkansas State,37.87200000000001,17,20.872000000000007,True
UCLA,Stanford,-16.832000000000004,18,-34.83200000000001,False
Fresno State,Nevada-Las Vegas,15.91333333333333,29,-13.08666666666667,True
Ohio State,Northwestern,73.67200000000001,49,24.67200000000001,True
Pittsburgh,Syracuse,7.409333333333334,7,0.40933333333333444,True
Air Force,Hawaii,6.069333333333331,30,-23.930666666666667,True
Alabama,Tennessee,60.67733333333332,22,38.67733333333332,True
Alabama-Birmingham,Old Dominion,44.01333333333334,24,20.013333333333343,True
Appalachian State,Louisiana-Monroe,30.313333333333325,45,-14.686666666666675,True
Auburn,Arkansas,23.43733333333333,41,-17.56266666666667,True
Ball State,Toledo,-0.9933333333333321,38,-38.99333333333333,False
Baylor,Oklahoma State,9.930666666666664,18,-8.069333333333336,True
Boston College,North Carolina State,-7.820000000000004,21,-28.820000000000004,False
Brigham Young,Boise State,-38.336,3,-41.336,False
Buffalo,Akron,30.396,21,9.396,True
Central Florida,East Carolina,45.94133333333334,13,32.94133333333334,True
Central Michigan,Bowling Green State,29.185333333333332,18,11.185333333333332,True
Cincinnati,Tulsa,29.21333333333334,11,18.21333333333334,True
Clemson,Louisville,34.15599999999999,35,-0.8440000000000083,True
Eastern Michigan,Western Michigan,-20.232000000000006,7,-27.232000000000006,False
Florida,South Carolina,20.566666666666666,11,9.566666666666666,True
Florida International,Texas-El Paso,38.74,15,23.740000000000002,True
Georgia,Kentucky,48.48666666666666,21,27.486666666666657,True
Georgia Southern,Coastal Carolina,-30.366666666666667,3,-33.36666666666667,False
Georgia State,Army,-0.5640000000000001,7,-7.564,False
Georgia Tech,Miami (FL),-47.732,7,-54.732,False
Houston,Connecticut,27.864,7,20.864,True
Illinois,Wisconsin,-66.42,1,-67.42,False
Indiana,Maryland,5.914666666666667,6,-0.08533333333333282,True
Iowa,Purdue,36.71600000000001,6,30.716000000000008,True
Iowa State,Texas Tech,17.39466666666667,10,7.394666666666669,True
Kansas State,Texas Christian,-5.648000000000009,7,-12.648000000000009,False
Liberty,Maine,0,15,-15.0,True
Louisiana State,Mississippi State,51.47733333333334,23,28.47733333333334,True
Louisiana Tech,Southern Mississippi,15.498666666666672,15,0.49866666666667214,True
Marshall,Florida Atlantic,-4.645333333333336,5,-9.645333333333337,False
Memphis,Tulane,-3.786666666666676,30,-33.786666666666676,False
Miami (OH),Northern Illinois,-14.785333333333329,3,-17.785333333333327,False
Minnesota,Rutgers,60.775999999999996,35,25.775999999999996,True
Navy,South Florida,38.163999999999994,32,6.163999999999994,True
North Texas,Middle Tennessee State,23.030666666666672,3,20.030666666666672,True
Ohio,Kent State,6.937333333333335,7,-0.0626666666666651,True
Oklahoma,West Virginia,66.50000000000001,38,28.500000000000014,True
Oregon,Washington,18.128,4,14.128,True
Oregon State,California,-8.409333333333338,4,-12.409333333333338,False
Penn State,Michigan,32.513333333333335,7,25.513333333333335,True
San Diego State,San Jose State,13.416,10,3.4160000000000004,True
Southern California,Arizona,-1.1279999999999972,27,-28.127999999999997,False
Southern Methodist,Temple,8.646666666666665,24,-15.353333333333335,True
Texas,Kansas,31.606666666666666,2,29.606666666666666,True
Texas A&M,Mississippi,11.379999999999997,7,4.379999999999997,True
Texas-San Antonio,Rice,7.946666666666668,4,3.946666666666668,True
Utah,Arizona State,26.180000000000003,18,8.180000000000003,True
Utah State,Nevada,29.560000000000002,26,3.5600000000000023,True
Vanderbilt,Missouri,-69.74933333333333,7,-76.74933333333333,False
Virginia,Duke,0.7719999999999949,34,-33.22800000000001,True
Virginia Tech,North Carolina,-1.4786666666666681,2,-3.478666666666668,False
Wake Forest,Florida State,32.536000000000016,2,30.536000000000016,True
Washington State,Colorado,26.466666666666665,31,-4.533333333333335,True
Western Kentucky,Charlotte,19.326666666666668,16,3.326666666666668,True
Wyoming,New Mexico,31.269333333333332,13,18.269333333333332,True
