WINNER,LOSER,DIFFERENCE
Alabama-Birmingham,Alabama State,-6.666666666666667
Central Michigan,Albany,-6.666666666666667
Western Kentucky,Central Arkansas,-6.666666666666667
Central Florida,Florida A&M,-6.666666666666667
Florida International,Tulane,12.794666666666666
Clemson,Georgia Tech,57.559999999999995
Arizona State,Kent State,36.71733333333334
Bowling Green State,Morgan State,-6.666666666666667
San Jose State,Northern Colorado,-6.666666666666667
Buffalo,Robert Morris,-6.666666666666667
Minnesota,South Dakota State,-6.666666666666667
Texas A&M,Texas State,44.489333333333335
Cincinnati,UCLA,54.06266666666667
Utah,Brigham Young,6.494666666666668
Connecticut,Wagner,-6.666666666666667
Colorado,Colorado State,18.36
Massachusetts,Rutgers,14.645333333333326
Oklahoma State,Oregon State,43.05333333333333
Nevada,Purdue,10.098666666666672
Army,Rice,62.62
Michigan State,Tulsa,22.529333333333337
Utah State,Wake Forest,35.61466666666667
Wisconsin,South Florida,17.133333333333333
North Texas,Abilene Christian,-6.666666666666667
Akron,Illinois,1.6999999999999964
Alabama,Duke,48.056000000000004
Southern Mississippi,Alcorn State,-6.666666666666667
Texas Christian,Arkansas-Pine Bluff,-6.666666666666667
Oregon,Auburn,2.6333333333333364
Indiana,Ball State,13.158666666666665
Boise State,Florida State,36.844
Temple,Bucknell,-6.666666666666667
California,California-Davis,-6.666666666666667
Troy,Campbell,-6.666666666666667
Air Force,Colgate,-6.666666666666667
North Carolina State,East Carolina,42.75866666666666
Appalachian State,East Tennessee State,-6.666666666666667
Eastern Michigan,Coastal Carolina,18.08666666666667
Washington,Eastern Washington,-6.666666666666667
Ohio State,Florida Atlantic,42.797333333333334
Fresno State,Southern California,34.43599999999999
Charlotte,Gardner-Webb,-6.666666666666667
Georgia,Vanderbilt,34.71200000000001
Louisiana State,Georgia Southern,12.674666666666665
Tennessee,Georgia State,21.156000000000002
Louisiana-Monroe,Grambling State,-6.666666666666667
Navy,Holy Cross,-6.666666666666667
Texas-El Paso,Houston Baptist,-6.666666666666667
Maryland,Howard,-6.666666666666667
Penn State,Idaho,-6.666666666666667
Northern Illinois,Illinois State,-6.666666666666667
Texas-San Antonio,Incarnate Word,-6.666666666666667
Kansas,Indiana State,-6.666666666666667
West Virginia,James Madison,-6.666666666666667
Mississippi State,Louisiana,34.33200000000001
Texas,Louisiana Tech,12.773333333333333
Iowa,Miami (OH),26.014666666666667
Michigan,Middle Tennessee State,33.105333333333334
Memphis,Mississippi,23.900000000000006
Missouri,Wyoming,20.324000000000005
Western Michigan,Monmouth,-6.666666666666667
Texas Tech,Montana State,-6.666666666666667
Washington State,New Mexico State,61.584
Kansas State,Nicholls State,-6.666666666666667
Old Dominion,Norfolk State,-6.666666666666667
South Carolina,North Carolina,21.59200000000001
Iowa State,Northern Iowa,-6.666666666666667
Stanford,Northwestern,6.650666666666671
Arkansas,Portland State,-6.666666666666667
Ohio,Rhode Island,-6.666666666666667
New Mexico,Sam Houston State,-6.666666666666667
Nebraska,South Alabama,26.95333333333333
Arkansas State,Southern Methodist,25.576
Nevada-Las Vegas,Southern Utah,-6.666666666666667
Baylor,Stephen F. Austin,-6.666666666666667
Syracuse,Liberty,29.969333333333342
Kentucky,Toledo,11.485333333333333
Virginia,Pittsburgh,12.914666666666664
Marshall,Virginia Military Institute,-6.666666666666667
Boston College,Virginia Tech,12.586666666666664
San Diego State,Weber State,-6.666666666666667
Oklahoma,Houston,27.46000000000001
Notre Dame,Louisville,67.98533333333333
