RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,11.895600000000002
2,Clemson,ACC,11.2052
3,Alabama,SEC,9.4676
4,LSU,SEC,8.6206
5,Utah,PAC-12,8.2852
6,Oklahoma,BIG-12,7.909199999999999
7,Georgia,SEC,7.2261999999999995
8,Wisconsin,BIG-TEN,7.2242
9,Oregon,PAC-12,6.8038
10,Louisiana,SUN-BELT,6.705
11,UCF,AMERICAN,6.389
12,Michigan,BIG-TEN,6.376
13,Penn State,BIG-TEN,6.296600000000001
14,Notre Dame,INDEPENDENT,6.2234
15,Florida,SEC,6.1838
16,Minnesota,BIG-TEN,6.1213999999999995
17,Appalachian State,SUN-BELT,6.0729999999999995
18,Memphis,AMERICAN,6.021200000000001
19,Auburn,SEC,5.805400000000001
20,Boise State,MWC,5.636
21,Baylor,BIG-12,5.481400000000001
22,Navy,AMERICAN,5.19
23,Air Force,MWC,5.119400000000001
24,Texas A&M,SEC,4.5440000000000005
25,Iowa,BIG-TEN,4.509399999999999
26,Iowa State,BIG-12,4.437800000000001
27,SMU,AMERICAN,4.1976
28,Indiana,BIG-TEN,4.0898
29,Virginia,ACC,4.063800000000001
30,Oklahoma State,BIG-12,4.003000000000001
31,Cincinnati,AMERICAN,3.7960000000000003
32,Florida Atlantic,CUSA,3.6635999999999997
33,Miami (FL),ACC,3.6520000000000006
34,Louisiana Tech,CUSA,3.6014
35,Washington State,PAC-12,3.5940000000000003
36,Virginia Tech,ACC,3.5921999999999996
37,UAB,CUSA,3.544
38,Washington,PAC-12,3.4814
39,USC,PAC-12,3.3722000000000003
40,Wake Forest,ACC,3.290200000000001
41,Kansas State,BIG-12,3.2558000000000002
42,Army,INDEPENDENT,3.2251999999999996
43,San Diego State,MWC,3.1740000000000004
44,Western Michigan,MAC,3.1637999999999997
45,Tulane,AMERICAN,3.1294000000000004
46,Buffalo,MAC,2.9423999999999997
47,Kentucky,SEC,2.8222000000000005
48,Brigham Young,INDEPENDENT,2.8076000000000003
49,Texas Christian,BIG-12,2.719
50,Missouri,SEC,2.7100000000000004
51,Western Kentucky,CUSA,2.685
52,North Carolina,ACC,2.655
53,Southern Mississippi,CUSA,2.6026000000000002
54,Central Michigan,MAC,2.5585999999999998
55,Hawaii,MWC,2.5530000000000004
56,Wyoming,MWC,2.5149999999999997
57,Texas,BIG-12,2.3610000000000007
58,Pitt,ACC,2.2954
59,Marshall,CUSA,2.2308
60,Louisville,ACC,2.205600000000001
61,Temple,AMERICAN,1.9697999999999998
62,Tennessee,SEC,1.9040000000000001
63,Arizona State,PAC-12,1.7994000000000006
64,Florida State,ACC,1.7973999999999999
65,Troy,SUN-BELT,1.7432000000000005
66,Nebraska,BIG-TEN,1.7303999999999997
67,Liberty,INDEPENDENT,1.7275999999999996
68,Ohio,MAC,1.5120000000000005
69,Michigan State,BIG-TEN,1.5048000000000001
70,Texas Tech,BIG-12,1.4746
71,Illinois,BIG-TEN,1.4457999999999998
72,Mississippi State,SEC,1.3279999999999998
73,Ole Miss,SEC,1.3247999999999998
74,Ball State,MAC,1.3159999999999996
75,Georgia State,SUN-BELT,1.2390000000000005
76,South Carolina,SEC,1.1231999999999998
77,Florida International,CUSA,1.114
78,Charlotte,CUSA,1.1099999999999999
79,Oregon State,PAC-12,0.9780000000000008
80,Colorado State,MWC,0.9668000000000001
81,Utah State,MWC,0.8638
82,Eastern Michigan,MAC,0.8479999999999998
83,Coastal Carolina,SUN-BELT,0.8260000000000002
84,Boston College,ACC,0.7962000000000004
85,Arkansas State,SUN-BELT,0.7612000000000004
86,Toledo,MAC,0.7290000000000001
87,North Texas,CUSA,0.6069999999999998
88,Fresno State,MWC,0.493
89,Georgia Southern,SUN-BELT,0.44279999999999975
90,Miami (OH),MAC,0.4194
91,California,PAC-12,0.40739999999999976
92,San Jose State,MWC,0.3690000000000003
93,North Carolina State,ACC,0.09799999999999968
94,Colorado,PAC-12,0.02360000000000016
95,Purdue,BIG-TEN,-0.15739999999999962
96,East Carolina,AMERICAN,-0.17319999999999958
97,Middle Tennessee State,CUSA,-0.17360000000000034
98,Syracuse,ACC,-0.18499999999999986
99,Houston,AMERICAN,-0.27759999999999996
100,Northern Illinois,MAC,-0.38480000000000003
101,Duke,ACC,-0.4239999999999999
102,Louisiana-Monroe,SUN-BELT,-0.4311999999999997
103,Kent State,MAC,-0.4655999999999999
104,Tulsa,AMERICAN,-0.493
105,Stanford,PAC-12,-0.4958
106,South Florida,AMERICAN,-0.5813999999999996
107,UCLA,PAC-12,-0.6061999999999999
108,Arizona,PAC-12,-0.6353999999999991
109,Nevada,MWC,-0.7474
110,West Virginia,BIG-12,-1.1463999999999994
111,Kansas,BIG-12,-1.3675999999999993
112,Nevada-Las Vegas,MWC,-1.5469999999999997
113,Northwestern,BIG-TEN,-1.6502000000000001
114,Maryland,BIG-TEN,-1.7277999999999998
115,Rice,CUSA,-2.0854
116,UTSA,CUSA,-2.1229999999999998
117,Georgia Tech,ACC,-2.3624
118,Texas State,SUN-BELT,-2.7352
119,South Alabama,SUN-BELT,-2.7891999999999997
120,Old Dominion,CUSA,-2.8310000000000004
121,Vanderbilt,SEC,-2.8744
122,New Mexico,MWC,-2.8756
123,Arkansas,SEC,-3.0427999999999997
124,UTEP,CUSA,-3.338
125,New Mexico State,INDEPENDENT,-3.7041999999999997
126,Bowling Green State,MAC,-3.8012
127,Connecticut,AMERICAN,-3.8348000000000004
128,Rutgers,BIG-TEN,-4.876
129,Akron,MAC,-5.023
130,Massachusetts,INDEPENDENT,-7.432
