WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Georgia Southern,South Alabama,-9.325333333333337,3,-12.325333333333337,False
Temple,East Carolina,20.28666666666667,10,10.286666666666669,True
Cincinnati,Central Florida,-29.729333333333336,3,-32.72933333333334,False
San Jose State,New Mexico,15.082666666666666,11,4.082666666666666,True
Alabama-Birmingham,Rice,47.30933333333333,15,32.30933333333333,True
Arizona,Colorado,7.117333333333337,5,2.1173333333333373,True
Ball State,Northern Illinois,12.891999999999996,7,5.891999999999996,True
Baylor,Kansas State,9.230666666666671,19,-9.769333333333329,True
Boise State,Nevada-Las Vegas,40.60666666666666,25,15.606666666666662,True
Central Michigan,Eastern Michigan,-5.789333333333334,26,-31.789333333333335,False
Florida,Auburn,8.328000000000001,11,-2.671999999999999,True
Florida International,Massachusetts,24.460000000000004,44,-19.539999999999996,True
Georgia,Tennessee,50.026666666666664,29,21.026666666666664,True
Georgia State,Arkansas State,-4.687999999999998,14,-18.688,False
Iowa State,Texas Christian,-14.474666666666671,25,-39.47466666666667,False
Liberty,New Mexico State,43.368,7,36.368,True
Louisiana State,Utah State,31.775999999999996,36,-4.224000000000004,True
Louisville,Boston College,6.082666666666669,2,4.082666666666669,True
Maryland,Rutgers,43.30266666666666,41,2.30266666666666,True
Memphis,Louisiana-Monroe,41.12666666666666,19,22.126666666666658,True
Michigan,Iowa,-18.94,7,-25.94,False
Middle Tennessee State,Marshall,-22.12933333333333,11,-33.129333333333335,False
Minnesota,Illinois,6.570666666666666,23,-16.429333333333332,True
Mississippi,Vanderbilt,27.22266666666666,25,2.2226666666666617,True
Missouri,Troy,27.64,32,-4.359999999999999,True
Navy,Air Force,12.409333333333343,9,3.4093333333333433,True
Nebraska,Northwestern,23.196,3,20.196,True
North Carolina,Georgia Tech,20.184,16,4.184000000000001,True
Notre Dame,Bowling Green State,60.023999999999994,52,8.023999999999994,True
Ohio,Buffalo,-13.256,1,-14.256,False
Ohio State,Michigan State,36.76,24,12.759999999999998,True
Oklahoma,Kansas,67.32666666666667,25,42.32666666666667,True
Oregon,California,40.27600000000001,10,30.27600000000001,True
Oregon State,UCLA,24.264,17,7.263999999999999,True
Penn State,Purdue,72.13866666666667,28,44.138666666666666,True
Pittsburgh,Duke,-16.972000000000005,3,-19.972000000000005,False
San Diego State,Colorado State,15.326666666666666,14,1.3266666666666662,True
South Florida,Connecticut,6.575999999999995,26,-19.424000000000007,True
Southern Methodist,Tulsa,40.92933333333333,6,34.92933333333333,True
Stanford,Washington,-41.65066666666667,10,-51.65066666666667,False
Texas,West Virginia,20.806666666666658,11,9.806666666666658,True
Texas Tech,Oklahoma State,-18.157333333333334,10,-28.157333333333334,False
Texas-San Antonio,Texas-El Paso,-2.824,10,-12.824,False
Toledo,Western Michigan,0.8413333333333295,7,-6.1586666666666705,True
Tulane,Army,5.519999999999996,9,-3.480000000000004,True
Virginia Tech,Miami (FL),-34.56933333333335,7,-41.56933333333335,False
Western Kentucky,Old Dominion,2.0199999999999996,17,-14.98,True
Wisconsin,Kent State,70.31066666666666,48,22.310666666666663,True
