WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Baylor,West Virginia,55.03733333333333,3,52.03733333333333,True
Georgia Southern,Appalachian State,-42.52000000000001,3,-45.52000000000001,False
Navy,Connecticut,52.12933333333332,46,6.129333333333321,True
Air Force,Army,26.092000000000006,4,22.092000000000006,True
Arkansas State,Louisiana-Monroe,5.5360000000000005,7,-1.4639999999999995,True
Auburn,Mississippi,28.86933333333334,6,22.86933333333334,True
Boise State,San Jose State,26.791999999999998,10,16.791999999999998,True
Boston College,Syracuse,4.096000000000002,31,-26.903999999999996,True
Bowling Green State,Akron,7.865333333333329,29,-21.13466666666667,True
Brigham Young,Utah State,-18.606666666666666,28,-46.60666666666667,False
Buffalo,Eastern Michigan,10.322666666666668,29,-18.67733333333333,True
Central Florida,Houston,50.729333333333344,15,35.729333333333344,True
Central Michigan,Northern Illinois,6.262666666666668,38,-31.737333333333332,True
Charlotte,Middle Tennessee State,4.3240000000000025,14,-9.675999999999998,True
Cincinnati,East Carolina,22.80933333333334,3,19.80933333333334,True
Clemson,Wofford,0,45,-45.0,True
Coastal Carolina,Troy,7.5466666666666695,1,6.5466666666666695,True
Colorado State,Nevada-Las Vegas,19.848000000000003,20,-0.15199999999999747,True
Florida Atlantic,Western Kentucky,-1.429333333333333,11,-12.429333333333332,False
Florida International,Old Dominion,32.70000000000001,7,25.70000000000001,True
Fresno State,Hawaii,-6.933333333333337,3,-9.933333333333337,False
Georgia,Florida,17.790666666666667,7,10.790666666666667,True
Illinois,Rutgers,35.788000000000004,28,7.788000000000004,True
Indiana,Northwestern,50.053333333333335,31,19.053333333333335,True
Kansas State,Kansas,22.037333333333336,28,-5.962666666666664,True
Liberty,Massachusetts,47.59733333333333,42,5.5973333333333315,True
Louisiana,Texas State,51.02266666666668,28,23.02266666666668,True
Marshall,Rice,28.414666666666662,13,15.414666666666662,True
Memphis,Southern Methodist,1.3440000000000119,6,-4.655999999999988,True
Miami (FL),Florida State,11.052000000000005,17,-5.947999999999995,True
Michigan,Maryland,21.02,31,-9.98,True
Mississippi State,Arkansas,5.832,30,-24.168,True
Nevada,New Mexico,1.1013333333333364,11,-9.898666666666664,True
North Texas,Texas-El Paso,30.39333333333333,26,4.393333333333331,True
Notre Dame,Virginia Tech,21.84133333333334,1,20.84133333333334,True
Oklahoma State,Texas Christian,-2.0306666666666713,7,-9.030666666666672,False
Oregon,Southern California,24.227999999999994,32,-7.772000000000006,True
Oregon State,Arizona,-5.0120000000000005,18,-23.012,False
Pittsburgh,Georgia Tech,25.49466666666667,10,15.49466666666667,True
Purdue,Nebraska,-5.956000000000003,4,-9.956000000000003,False
South Carolina,Vanderbilt,28.073333333333338,17,11.073333333333338,True
Tennessee,Alabama-Birmingham,-26.633333333333336,23,-49.63333333333334,False
Texas A&M,Texas-San Antonio,40.354666666666674,31,9.354666666666674,True
Tulane,Tulsa,33.16266666666667,12,21.162666666666667,True
UCLA,Colorado,6.940000000000001,17,-10.059999999999999,True
Utah,Washington,16.929333333333332,5,11.929333333333332,True
Virginia,North Carolina,5.342666666666668,7,-1.657333333333332,True
Wake Forest,North Carolina State,15.781333333333343,34,-18.218666666666657,True
