WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Eastern Michigan,Akron,26.479999999999997,28,-1.5200000000000031,True
Western Michigan,Ohio,13.445333333333327,3,10.445333333333327,True
Miami (OH),Bowling Green State,14.417333333333334,41,-26.582666666666668,True
Northern Illinois,Toledo,-11.611999999999998,3,-14.611999999999998,False
Kent State,Buffalo,-23.32666666666667,3,-26.32666666666667,False
Pittsburgh,North Carolina,8.753333333333337,7,1.7533333333333374,True
San Diego State,Fresno State,15.940000000000003,10,5.940000000000003,True
Air Force,Colorado State,18.372,17,1.3719999999999999,True
Alabama,Mississippi State,45.60133333333332,31,14.601333333333322,True
Alabama-Birmingham,Texas-El Paso,44.72666666666667,27,17.726666666666667,True
Appalachian State,Georgia State,21.639999999999997,29,-7.360000000000003,True
Arkansas State,Coastal Carolina,-2.052,1,-3.052,False
Army,Virginia Military Institute,0,41,-41.0,True
Boise State,New Mexico,48.44533333333334,33,15.445333333333338,True
Brigham Young,Idaho State,0,32,-32.0,True
Central Michigan,Ball State,2.6906666666666665,1,1.6906666666666665,True
Cincinnati,South Florida,22.798666666666676,3,19.798666666666676,True
Clemson,Wake Forest,46.472,49,-2.5279999999999987,True
Florida,Missouri,10.625333333333334,17,-6.374666666666666,True
Florida State,Alabama State,0,37,-37.0,True
Georgia,Auburn,13.47999999999999,7,6.47999999999999,True
Georgia Southern,Louisiana-Monroe,6.606666666666663,22,-15.393333333333338,True
Hawaii,Nevada-Las Vegas,20.79333333333333,14,6.7933333333333294,True
Iowa,Minnesota,-8.517333333333331,4,-12.517333333333331,False
Iowa State,Texas,10.945333333333336,2,8.945333333333336,True
Kentucky,Vanderbilt,30.584000000000003,24,6.584000000000003,True
Louisiana,South Alabama,58.74133333333333,10,48.74133333333333,True
Louisiana State,Mississippi,38.98533333333334,21,17.985333333333337,True
Louisville,North Carolina State,3.7906666666666644,14,-10.209333333333335,True
Marshall,Louisiana Tech,-14.837333333333332,21,-35.83733333333333,False
Memphis,Houston,29.860000000000003,18,11.860000000000003,True
Michigan,Michigan State,29.32666666666666,34,-4.673333333333339,True
New Mexico State,Incarnate Word,0,13,-13.0,True
Northwestern,Massachusetts,35.53333333333334,39,-3.4666666666666615,True
Notre Dame,Navy,-4.349333333333329,32,-36.34933333333333,False
Ohio State,Rutgers,105.78266666666667,35,70.78266666666667,True
Oklahoma,Baylor,9.793333333333337,3,6.7933333333333366,True
Oklahoma State,Kansas,33.217333333333336,18,15.217333333333336,True
Oregon,Arizona,45.836000000000006,28,17.836000000000006,True
Oregon State,Arizona State,-2.1666666666666665,1,-3.1666666666666665,False
Penn State,Indiana,16.597333333333335,7,9.597333333333335,True
Rice,Middle Tennessee State,-17.978666666666665,3,-20.978666666666665,False
Southern California,California,9.151999999999996,24,-14.848000000000004,True
Southern Mississippi,Texas-San Antonio,27.197333333333336,19,8.197333333333336,True
Syracuse,Duke,-15.139999999999997,43,-58.14,False
Temple,Tulane,-13.005333333333335,8,-21.005333333333333,False
Texas A&M,South Carolina,20.492,24,-3.507999999999999,True
Texas Christian,Texas Tech,5.352000000000003,2,3.352000000000003,True
Troy,Texas State,25.389333333333333,36,-10.610666666666667,True
Utah,UCLA,47.28800000000001,46,1.288000000000011,True
Utah State,Wyoming,-7.166666666666668,5,-12.166666666666668,False
Virginia Tech,Georgia Tech,23.116000000000003,45,-21.883999999999997,True
Washington State,Stanford,23.45066666666666,27,-3.5493333333333403,True
West Virginia,Kansas State,-37.49999999999999,4,-41.49999999999999,False
Wisconsin,Nebraska,39.048,16,23.048000000000002,True
