TEAM,CONFERENCE,POINTS
Clemson,ACC,9.709999999999999
Wake Forest,ACC,4.354600000000001
Louisville,ACC,1.6835999999999998
Florida State,ACC,1.0011999999999999
Boston College,ACC,0.8322000000000003
North Carolina State,ACC,2.4374000000000002
Syracuse,ACC,-0.2322
Virginia,ACC,3.2864
Virginia Tech,ACC,1.4762
Pitt,ACC,2.2040000000000006
North Carolina,ACC,2.0349999999999997
Duke,ACC,1.8258000000000003
Miami (FL),ACC,3.1090000000000004
Georgia Tech,ACC,-2.0702
Cincinnati,AMERICAN,3.0178000000000007
UCF,AMERICAN,7.227
Temple,AMERICAN,1.1246000000000003
South Florida,AMERICAN,0.2262000000000004
East Carolina,AMERICAN,-0.8536000000000001
Connecticut,AMERICAN,-2.898999999999999
SMU,AMERICAN,5.168799999999999
Navy,AMERICAN,5.370399999999999
Memphis,AMERICAN,4.920400000000001
Tulane,AMERICAN,3.7934
Houston,AMERICAN,0.06759999999999963
Tulsa,AMERICAN,-0.7309999999999995
Baylor,BIG-12,6.275599999999999
Oklahoma,BIG-12,8.524000000000001
Iowa State,BIG-12,4.7784
Texas,BIG-12,2.797
Kansas State,BIG-12,3.305000000000001
Texas Christian,BIG-12,4.078200000000001
Oklahoma State,BIG-12,3.3236
West Virginia,BIG-12,-1.5299999999999998
Kansas,BIG-12,-0.45059999999999945
Texas Tech,BIG-12,1.3844000000000003
Ohio State,BIG-TEN,11.306799999999999
Penn State,BIG-TEN,8.139800000000001
Indiana,BIG-TEN,4.722
Michigan,BIG-TEN,4.9642
Michigan State,BIG-TEN,1.5606000000000004
Maryland,BIG-TEN,1.3612
Rutgers,BIG-TEN,-4.1274
Minnesota,BIG-TEN,6.4792
Iowa,BIG-TEN,5.1948
Wisconsin,BIG-TEN,7.264200000000001
Illinois,BIG-TEN,0.7907999999999997
Nebraska,BIG-TEN,0.9526000000000004
Purdue,BIG-TEN,-0.3907999999999999
Northwestern,BIG-TEN,-2.3359999999999994
Western Kentucky,CUSA,1.9949999999999999
Florida Atlantic,CUSA,2.2306
Marshall,CUSA,1.5457999999999998
Middle Tennessee State,CUSA,-0.7856
Florida International,CUSA,1.2820000000000003
Charlotte,CUSA,-0.5869999999999996
Old Dominion,CUSA,-3.1730000000000005
Louisiana Tech,CUSA,4.0324
UAB,CUSA,4.92
Southern Mississippi,CUSA,1.6606
UTSA,CUSA,-1.9520000000000002
North Texas,CUSA,0.7360000000000002
UTEP,CUSA,-3.372999999999999
Rice,CUSA,-3.1663999999999994
Liberty,INDEPENDENT,1.2466000000000002
New Mexico State,INDEPENDENT,-5.0592
Massachusetts,INDEPENDENT,-6.343
Notre Dame,INDEPENDENT,4.3024000000000004
Brigham Young,INDEPENDENT,-0.3913999999999996
Army,INDEPENDENT,0.8686000000000001
Miami (OH),MAC,-1.7145999999999997
Ohio,MAC,0.5249999999999997
Buffalo,MAC,1.7784000000000004
Kent State,MAC,-1.4466
Bowling Green State,MAC,-4.4262
Akron,MAC,-5.155999999999999
Ball State,MAC,1.9049999999999998
Central Michigan,MAC,1.3346000000000002
Western Michigan,MAC,2.8858
Toledo,MAC,0.7279999999999999
Northern Illinois,MAC,0.8452000000000001
Eastern Michigan,MAC,-0.21999999999999978
Boise State,MWC,4.818
Air Force,MWC,4.332400000000001
Wyoming,MWC,2.8021999999999996
Utah State,MWC,1.9496
Colorado State,MWC,0.8712
New Mexico,MWC,-2.3302
San Diego State,MWC,3.21
Hawaii,MWC,1.6970000000000003
Fresno State,MWC,1.1069999999999998
Nevada,MWC,-2.6149999999999998
San Jose State,MWC,0.34919999999999995
Nevada-Las Vegas,MWC,-1.6560000000000004
Oregon,PAC-12,6.7364
Stanford,PAC-12,-0.05619999999999972
Oregon State,PAC-12,0.7729999999999997
Washington,PAC-12,4.0888
California,PAC-12,0.38139999999999985
Washington State,PAC-12,3.7559999999999993
Utah,PAC-12,7.0782
USC,PAC-12,2.6522000000000006
UCLA,PAC-12,-0.15919999999999943
Arizona State,PAC-12,2.0033999999999996
Arizona,PAC-12,1.0747999999999998
Colorado,PAC-12,-0.7501999999999995
Florida,SEC,5.4894
Georgia,SEC,7.708
Missouri,SEC,5.023999999999999
Tennessee,SEC,0.4750000000000001
Kentucky,SEC,1.0802000000000003
South Carolina,SEC,1.0534000000000003
Vanderbilt,SEC,-2.7076000000000002
Alabama,SEC,9.3204
LSU,SEC,8.514399999999998
Auburn,SEC,4.979
Texas A&M,SEC,3.6512000000000007
Ole Miss,SEC,1.0985999999999998
Mississippi State,SEC,-0.18379999999999982
Arkansas,SEC,-1.5085999999999997
Appalachian State,SUN-BELT,6.002000000000001
Georgia State,SUN-BELT,1.8210000000000004
Georgia Southern,SUN-BELT,0.07400000000000027
Troy,SUN-BELT,1.4920000000000002
Coastal Carolina,SUN-BELT,2.1740000000000004
Louisiana,SUN-BELT,4.883000000000001
Louisiana-Monroe,SUN-BELT,-1.5771999999999995
Arkansas State,SUN-BELT,-0.29679999999999956
Texas State,SUN-BELT,-2.3204
South Alabama,SUN-BELT,-3.3981999999999997
