WINNER,LOSER,DIFFERENCE
Eastern Michigan,Akron,26.479999999999997
Western Michigan,Ohio,13.445333333333327
Miami (OH),Bowling Green State,14.417333333333334
Toledo,Northern Illinois,11.611999999999998
Buffalo,Kent State,23.32666666666667
Pittsburgh,North Carolina,8.753333333333337
San Diego State,Fresno State,15.940000000000003
Air Force,Colorado State,18.372
Alabama,Mississippi State,45.60133333333332
Florida State,Alabama State,
Appalachian State,Georgia State,21.639999999999997
Oregon,Arizona,45.836000000000006
Arizona State,Oregon State,2.1666666666666665
Central Michigan,Ball State,2.6906666666666665
Cincinnati,South Florida,22.798666666666676
Coastal Carolina,Arkansas State,2.052
Florida,Missouri,10.625333333333334
Georgia,Auburn,13.47999999999999
Hawaii,Nevada-Las Vegas,20.79333333333333
Brigham Young,Idaho State,
New Mexico State,Incarnate Word,
Penn State,Indiana,16.597333333333335
Oklahoma State,Kansas,33.217333333333336
Kentucky,Vanderbilt,30.584000000000003
Louisiana,South Alabama,58.74133333333333
Louisiana State,Mississippi,38.98533333333334
Louisiana Tech,Marshall,14.837333333333332
Georgia Southern,Louisiana-Monroe,6.606666666666663
Louisville,North Carolina State,3.7906666666666644
Northwestern,Massachusetts,35.53333333333334
Memphis,Houston,29.860000000000003
Michigan,Michigan State,29.32666666666666
Minnesota,Iowa,8.517333333333331
Navy,Notre Dame,4.349333333333329
Boise State,New Mexico,48.44533333333334
Ohio State,Rutgers,105.78266666666667
Oklahoma,Baylor,9.793333333333337
Middle Tennessee State,Rice,17.978666666666665
Texas A&M,South Carolina,20.492
Southern California,California,9.151999999999996
Southern Mississippi,Texas-San Antonio,27.197333333333336
Washington State,Stanford,23.45066666666666
Duke,Syracuse,15.139999999999997
Iowa State,Texas,10.945333333333336
Texas Christian,Texas Tech,5.352000000000003
Alabama-Birmingham,Texas-El Paso,44.72666666666667
Troy,Texas State,25.389333333333333
Tulane,Temple,13.005333333333335
Utah,UCLA,47.28800000000001
Army,Virginia Military Institute,
Virginia Tech,Georgia Tech,23.116000000000003
Clemson,Wake Forest,46.472
Kansas State,West Virginia,37.49999999999999
Wisconsin,Nebraska,39.048
Wyoming,Utah State,7.166666666666668
