RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,12.1154
2,Clemson,ACC,10.689200000000001
3,Alabama,SEC,8.338999999999999
4,LSU,SEC,8.1376
5,Oklahoma,BIG-12,8.013
6,Georgia,SEC,7.6676
7,Penn State,BIG-TEN,7.4041999999999994
8,Utah,PAC-12,7.271200000000001
9,Oregon,PAC-12,7.0958000000000006
10,Wisconsin,BIG-TEN,7.081799999999999
11,UCF,AMERICAN,6.545
12,Navy,AMERICAN,6.2638
13,Minnesota,BIG-TEN,6.232
14,Louisiana,SUN-BELT,6.180999999999999
15,Baylor,BIG-12,6.093999999999999
16,Florida,SEC,5.972799999999999
17,Michigan,BIG-TEN,5.4765999999999995
18,Indiana,BIG-TEN,5.364599999999999
19,Auburn,SEC,5.1956000000000016
20,Notre Dame,INDEPENDENT,5.1614
21,Appalachian State,SUN-BELT,5.145
22,Memphis,AMERICAN,4.792
23,SMU,AMERICAN,4.7746
24,Louisiana Tech,CUSA,4.7474
25,Air Force,MWC,4.6364
26,Boise State,MWC,4.579
27,Iowa,BIG-TEN,4.5044
28,Texas A&M,SEC,4.441
29,Iowa State,BIG-12,4.2968
30,Wake Forest,ACC,4.168400000000001
31,Washington,PAC-12,4.037399999999999
32,Cincinnati,AMERICAN,3.979200000000001
33,Tulane,AMERICAN,3.9582
34,Missouri,SEC,3.9289999999999994
35,Miami (FL),ACC,3.87
36,Virginia,ACC,3.5064
37,Kansas State,BIG-12,3.499799999999999
38,Oklahoma State,BIG-12,3.4676000000000005
39,Florida Atlantic,CUSA,3.3246
40,Texas,BIG-12,3.105
41,Texas Christian,BIG-12,3.089600000000001
42,Washington State,PAC-12,3.069999999999999
43,Western Michigan,MAC,3.0547999999999993
44,San Diego State,MWC,2.984
45,UAB,CUSA,2.79
46,Pitt,ACC,2.662
47,Buffalo,MAC,2.6424000000000003
48,Wyoming,MWC,2.58
49,Southern Mississippi,CUSA,2.5496
50,Central Michigan,MAC,2.4635999999999996
51,Liberty,INDEPENDENT,2.3815999999999993
52,Western Kentucky,CUSA,2.337
53,USC,PAC-12,2.2882
54,Army,INDEPENDENT,2.2596
55,Troy,SUN-BELT,2.11
56,Marshall,CUSA,2.0718
57,Virginia Tech,ACC,1.8652000000000004
58,Ole Miss,SEC,1.8398000000000005
59,Texas Tech,BIG-12,1.8368000000000004
60,Hawaii,MWC,1.8319999999999999
61,South Carolina,SEC,1.8172000000000001
62,North Carolina,ACC,1.7989999999999995
63,Illinois,BIG-TEN,1.7074
64,Boston College,ACC,1.6277999999999992
65,Ball State,MAC,1.6099999999999994
66,Arizona State,PAC-12,1.5724
67,Temple,AMERICAN,1.5574
68,Michigan State,BIG-TEN,1.5276
69,Georgia State,SUN-BELT,1.449
70,Tennessee,SEC,1.438
71,Colorado State,MWC,1.4306
72,Louisville,ACC,1.2026
73,Utah State,MWC,1.055
74,Mississippi State,SEC,1.0488000000000002
75,Fresno State,MWC,1.0429999999999997
76,Toledo,MAC,1.038
77,Brigham Young,INDEPENDENT,1.0376
78,Kentucky,SEC,0.9802000000000002
79,Coastal Carolina,SUN-BELT,0.9650000000000004
80,Florida International,CUSA,0.903
81,Florida State,ACC,0.8940000000000001
82,Duke,ACC,0.8470000000000002
83,Oregon State,PAC-12,0.7974
84,Nebraska,BIG-TEN,0.7745999999999998
85,North Texas,CUSA,0.7590000000000006
86,Arizona,PAC-12,0.6704000000000003
87,UCLA,PAC-12,0.6280000000000002
88,Ohio,MAC,0.5880000000000002
89,Charlotte,CUSA,0.5599999999999999
90,California,PAC-12,0.46540000000000037
91,Purdue,BIG-TEN,0.3282
92,San Jose State,MWC,0.28700000000000003
93,Arkansas State,SUN-BELT,0.2072000000000005
94,North Carolina State,ACC,0.18400000000000022
95,South Florida,AMERICAN,0.1093999999999998
96,Stanford,PAC-12,0.00240000000000027
97,Houston,AMERICAN,-0.13700000000000015
98,Georgia Southern,SUN-BELT,-0.23319999999999988
99,Northern Illinois,MAC,-0.2537999999999998
100,East Carolina,AMERICAN,-0.5592
101,Tulsa,AMERICAN,-0.5889999999999995
102,Colorado,PAC-12,-0.6099999999999997
103,Louisiana-Monroe,SUN-BELT,-0.7741999999999993
104,Eastern Michigan,MAC,-0.8740000000000004
105,Maryland,BIG-TEN,-0.8787999999999994
106,Middle Tennessee State,CUSA,-0.9616000000000002
107,Syracuse,ACC,-0.9739999999999994
108,Kansas,BIG-12,-1.064999999999999
109,Miami (OH),MAC,-1.2675999999999996
110,Kent State,MAC,-1.3066000000000002
111,Nevada,MWC,-1.3343999999999994
112,West Virginia,BIG-12,-1.6751999999999998
113,Nevada-Las Vegas,MWC,-1.7369999999999994
114,UTSA,CUSA,-1.9800000000000004
115,Georgia Tech,ACC,-2.0522
116,Texas State,SUN-BELT,-2.1483999999999996
117,New Mexico,MWC,-2.2378
118,Arkansas,SEC,-2.4818000000000002
119,Northwestern,BIG-TEN,-2.5199999999999996
120,Old Dominion,CUSA,-2.8249999999999997
121,Bowling Green State,MAC,-2.9801999999999995
122,South Alabama,SUN-BELT,-3.0802
123,Rice,CUSA,-3.2084
124,UTEP,CUSA,-3.469
125,Vanderbilt,SEC,-4.0574
126,Connecticut,AMERICAN,-4.174799999999999
127,Rutgers,BIG-TEN,-4.202
128,Akron,MAC,-5.296
129,New Mexico State,INDEPENDENT,-5.626200000000001
130,Massachusetts,INDEPENDENT,-7.4
