WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Memphis,Navy,-7.5080000000000116,12,-19.50800000000001,False
Air Force,San Jose State,23.370666666666665,17,6.370666666666665,True
Arizona State,California,-0.48933333333333273,7,-7.489333333333333,False
Duke,Virginia Tech,-2.5093333333333385,35,-37.50933333333334,False
Penn State,Maryland,-10.999999999999991,59,-69.99999999999999,False
Alabama,Mississippi,58.330666666666666,28,30.330666666666666,True
Appalachian State,Coastal Carolina,-9.386666666666663,19,-28.386666666666663,False
Arizona,UCLA,46.412000000000006,3,43.412000000000006,True
Arkansas State,Troy,-44.52533333333334,7,-51.52533333333334,False
Auburn,Mississippi State,15.503999999999998,33,-17.496000000000002,True
Baylor,Iowa State,21.034666666666666,2,19.034666666666666,True
Central Florida,Connecticut,68.31466666666667,35,33.31466666666667,True
Cincinnati,Marshall,-16.704000000000004,38,-54.70400000000001,False
Clemson,North Carolina,49.76133333333333,1,48.76133333333333,True
East Carolina,Old Dominion,5.778666666666664,3,2.7786666666666644,True
Florida,Towson,0,38,-38.0,True
Florida Atlantic,Charlotte,-14.469333333333333,18,-32.46933333333333,False
Florida State,North Carolina State,-24.53333333333333,18,-42.53333333333333,False
Fresno State,New Mexico State,44.98133333333333,13,31.981333333333332,True
Hawaii,Nevada,8.179999999999998,51,-42.82,True
Houston,North Texas,-25.500000000000004,21,-46.5,False
Iowa,Middle Tennessee State,49.17866666666667,45,4.178666666666672,True
Liberty,New Mexico,21.067999999999998,7,14.067999999999998,True
Louisiana,Georgia Southern,64.32666666666668,13,51.32666666666668,True
Louisiana Tech,Rice,34.472,3,31.472,True
Louisiana-Monroe,South Alabama,6.461333333333331,13,-6.538666666666669,True
Massachusetts,Akron,-7.606666666666667,8,-15.606666666666667,False
Miami (OH),Buffalo,-34.65333333333333,14,-48.65333333333333,False
Michigan,Rutgers,15.36266666666667,52,-36.63733333333333,True
Michigan State,Indiana,11.956000000000001,9,2.9560000000000013,True
Minnesota,Purdue,11.153333333333338,7,4.153333333333338,True
Notre Dame,Virginia,3.5800000000000054,15,-11.419999999999995,True
Ohio State,Nebraska,42.21333333333333,41,1.2133333333333312,True
Oklahoma,Texas Tech,30.561333333333334,39,-8.438666666666666,True
Oklahoma State,Kansas State,-16.910666666666675,13,-29.910666666666675,False
Pittsburgh,Delaware,0,3,-3.0,True
South Carolina,Kentucky,1.6373333333333306,17,-15.36266666666667,True
Southern Methodist,South Florida,34.641333333333336,27,7.6413333333333355,True
Southern Mississippi,Texas-El Paso,18.217333333333332,18,0.2173333333333325,True
Stanford,Oregon State,-27.990666666666662,3,-30.990666666666662,False
Syracuse,Holy Cross,0,38,-38.0,True
Temple,Georgia Tech,45.48266666666667,22,23.482666666666667,True
Texas A&M,Arkansas,28.520000000000003,4,24.520000000000003,True
Texas Christian,Kansas,24.574666666666666,37,-12.425333333333334,True
Texas State,Nicholls State,0,21,-21.0,True
Toledo,Brigham Young,30.61466666666667,7,23.61466666666667,True
Utah,Washington State,-6.014666666666659,25,-31.01466666666666,False
Utah State,Colorado State,36.024,10,26.024,True
Vanderbilt,Northern Illinois,-14.697333333333331,6,-20.697333333333333,False
Wake Forest,Boston College,17.705333333333336,3,14.705333333333336,True
Washington,Southern California,22.445333333333334,14,8.445333333333334,True
Western Kentucky,Alabama-Birmingham,-29.14666666666667,7,-36.14666666666667,False
Western Michigan,Central Michigan,23.72133333333333,16,7.72133333333333,True
Wisconsin,Northwestern,80.44133333333333,9,71.44133333333333,True
Wyoming,Nevada-Las Vegas,9.9,36,-26.1,True
