WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Toledo,Kent State,17.497333333333334,2,15.497333333333334,True
Western Michigan,Ball State,9.538666666666671,4,5.538666666666671,True
Miami (OH),Ohio,-17.930666666666664,3,-20.930666666666664,False
Louisiana,Coastal Carolina,18.493333333333336,41,-22.506666666666664,True
Temple,South Florida,2.845333333333334,10,-7.154666666666666,True
Tulsa,Central Florida,-50.11333333333334,3,-53.11333333333334,False
Washington,Oregon State,11.705333333333328,12,-0.2946666666666715,True
Appalachian State,South Carolina,21.292,5,16.292,True
Army,Massachusetts,53.890666666666675,56,-2.109333333333325,True
Baylor,Texas Christian,15.206666666666665,6,9.206666666666665,True
Boise State,Wyoming,16.006666666666668,3,13.006666666666668,True
Brigham Young,Liberty,-11.461333333333332,7,-18.461333333333332,False
California,Washington State,-21.964000000000002,13,-34.964,False
Charlotte,Texas-El Paso,22.25333333333333,7,15.25333333333333,True
Cincinnati,Connecticut,46.21733333333333,45,1.217333333333329,True
Clemson,North Carolina State,56.831999999999994,45,11.831999999999994,True
Colorado,Stanford,-3.494666666666669,3,-6.494666666666669,False
Florida,Vanderbilt,54.61733333333333,56,-1.3826666666666725,True
Florida Atlantic,Florida International,8.39066666666667,30,-21.609333333333332,True
Florida State,Boston College,-12.058666666666673,7,-19.058666666666674,False
Georgia,Missouri,19.138666666666673,27,-7.861333333333327,True
Hawaii,San Jose State,12.311999999999998,2,10.311999999999998,True
Illinois,Michigan State,-2.8866666666666716,3,-5.886666666666672,False
Louisiana State,Alabama,-8.373333333333312,5,-13.373333333333312,False
Louisiana Tech,North Texas,19.249333333333333,35,-15.750666666666667,True
Louisiana-Monroe,Georgia State,-19.213333333333335,14,-33.21333333333334,False
Miami (FL),Louisville,15.476,25,-9.524,True
Minnesota,Penn State,-8.108000000000004,5,-13.108000000000004,False
Mississippi,New Mexico State,41.02666666666667,38,3.026666666666671,True
Nevada,San Diego State,-36.23466666666667,4,-40.23466666666667,False
Notre Dame,Duke,14.369333333333323,31,-16.630666666666677,True
Ohio State,Maryland,74.22133333333333,59,15.221333333333334,True
Oklahoma,Iowa State,27.89599999999999,1,26.89599999999999,True
Purdue,Northwestern,16.933333333333337,2,14.933333333333337,True
Southern California,Arizona State,-4.1960000000000015,5,-9.196000000000002,False
Southern Methodist,East Carolina,38.43466666666667,8,30.434666666666672,True
Southern Mississippi,Alabama-Birmingham,-11.609333333333334,35,-46.60933333333333,False
Tennessee,Kentucky,-2.05466666666667,4,-6.0546666666666695,False
Texas,Kansas State,-5.482666666666664,3,-8.482666666666663,False
Texas State,South Alabama,7.2440000000000015,2,5.2440000000000015,True
Texas Tech,West Virginia,16.844,21,-4.155999999999999,True
Texas-San Antonio,Old Dominion,0.1066666666666638,1,-0.8933333333333362,True
Troy,Georgia Southern,10.026666666666664,21,-10.973333333333336,True
Utah State,Fresno State,-4.822666666666661,2,-6.822666666666661,False
Virginia,Georgia Tech,39.86,5,34.86,True
Virginia Tech,Wake Forest,-23.374666666666666,19,-42.37466666666667,False
Western Kentucky,Arkansas,22.958666666666673,26,-3.041333333333327,True
Wisconsin,Iowa,16.828000000000003,2,14.828000000000003,True
