TEAM,CONFERENCE,POINTS
Clemson,ACC,7.807200000000001
Wake Forest,ACC,5.042
Florida State,ACC,1.5800000000000003
Boston College,ACC,2.4228000000000005
North Carolina State,ACC,3.5399999999999996
Syracuse,ACC,0.6020000000000002
Louisville,ACC,2.8852000000000007
Virginia,ACC,3.6544000000000008
Duke,ACC,3.8658
North Carolina,ACC,0.9264
Pitt,ACC,1.7699999999999998
Miami (FL),ACC,4.768600000000001
Virginia Tech,ACC,0.03320000000000001
Georgia Tech,ACC,-2.5512
UCF,AMERICAN,7.7620000000000005
East Carolina,AMERICAN,0.6771999999999996
Connecticut,AMERICAN,-3.5163999999999995
South Florida,AMERICAN,-2.08
Cincinnati,AMERICAN,2.8526000000000002
Temple,AMERICAN,4.1701999999999995
Memphis,AMERICAN,5.800999999999999
SMU,AMERICAN,5.250799999999999
Tulane,AMERICAN,4.4166
Navy,AMERICAN,5.412800000000001
Houston,AMERICAN,-0.09760000000000046
Tulsa,AMERICAN,-0.4386000000000001
Baylor,BIG-12,6.9016
Oklahoma,BIG-12,10.2266
Texas,BIG-12,4.308599999999999
Texas Christian,BIG-12,6.937600000000001
West Virginia,BIG-12,0.7376000000000004
Oklahoma State,BIG-12,5.4012
Kansas State,BIG-12,5.066999999999999
Iowa State,BIG-12,4.3164
Texas Tech,BIG-12,2.2276000000000002
Kansas,BIG-12,-0.3224000000000002
Ohio State,BIG-TEN,10.6792
Penn State,BIG-TEN,10.276
Michigan State,BIG-TEN,5.6152
Michigan,BIG-TEN,4.173399999999999
Indiana,BIG-TEN,3.3544
Maryland,BIG-TEN,3.889
Rutgers,BIG-TEN,-3.0563999999999996
Iowa,BIG-TEN,7.4643999999999995
Minnesota,BIG-TEN,2.7872
Wisconsin,BIG-TEN,9.283199999999999
Nebraska,BIG-TEN,2.5144
Illinois,BIG-TEN,2.2516000000000003
Northwestern,BIG-TEN,-0.5149999999999999
Purdue,BIG-TEN,-0.09479999999999977
Florida Atlantic,CUSA,0.9176
Western Kentucky,CUSA,-0.05799999999999991
Charlotte,CUSA,0.10599999999999936
Florida International,CUSA,-1.8969999999999998
Marshall,CUSA,0.01880000000000005
Middle Tennessee State,CUSA,-3.7505999999999995
Old Dominion,CUSA,-0.8109999999999998
Louisiana Tech,CUSA,1.4664000000000001
Southern Mississippi,CUSA,0.4196000000000004
North Texas,CUSA,1.5100000000000002
UAB,CUSA,3.214
UTEP,CUSA,-3.668
UTSA,CUSA,-3.6416
Rice,CUSA,-3.4323999999999995
Liberty,INDEPENDENT,1.0639999999999998
Massachusetts,INDEPENDENT,-5.1160000000000005
New Mexico State,INDEPENDENT,-5.8912
Army,INDEPENDENT,3.1386000000000003
Notre Dame,INDEPENDENT,4.915399999999999
Brigham Young,INDEPENDENT,-1.3099999999999998
Kent State,MAC,-0.8133999999999998
Miami (OH),MAC,-3.6276
Buffalo,MAC,0.3104000000000002
Bowling Green State,MAC,-3.6381999999999994
Akron,MAC,-4.691999999999999
Ohio,MAC,-1.2279999999999998
Western Michigan,MAC,2.5148000000000006
Central Michigan,MAC,-1.1644
Eastern Michigan,MAC,0.15400000000000005
Toledo,MAC,2.191
Ball State,MAC,0.5449999999999996
Northern Illinois,MAC,-1.8387999999999998
Boise State,MWC,4.77
Wyoming,MWC,1.74
Utah State,MWC,4.7826
Air Force,MWC,4.001399999999999
Colorado State,MWC,-0.2600000000000002
New Mexico,MWC,-2.1824
Hawaii,MWC,2.4871999999999996
San Diego State,MWC,2.489
Nevada,MWC,-2.45
San Jose State,MWC,-0.3700000000000001
Nevada-Las Vegas,MWC,-1.7709999999999997
Fresno State,MWC,1.511
Oregon,PAC-12,7.481000000000001
California,PAC-12,1.8895999999999997
Washington,PAC-12,5.554000000000001
Stanford,PAC-12,-1.1436000000000002
Washington State,PAC-12,4.709199999999998
Oregon State,PAC-12,1.9699999999999995
Arizona,PAC-12,3.4132
Colorado,PAC-12,1.8955999999999993
USC,PAC-12,2.0707999999999998
Arizona State,PAC-12,3.2691999999999997
Utah,PAC-12,5.29
UCLA,PAC-12,-2.1196
Florida,SEC,6.9712000000000005
Georgia,SEC,8.9314
Missouri,SEC,7.074999999999999
South Carolina,SEC,2.2740000000000005
Kentucky,SEC,0.45119999999999993
Tennessee,SEC,0.9774
Vanderbilt,SEC,-3.1394
Alabama,SEC,9.5732
Auburn,SEC,6.172000000000001
LSU,SEC,9.099
Mississippi State,SEC,1.3907999999999998
Texas A&M,SEC,4.6364
Ole Miss,SEC,0.49399999999999955
Arkansas,SEC,1.3132000000000004
Appalachian State,SUN-BELT,3.786
Coastal Carolina,SUN-BELT,3.7459999999999996
Georgia State,SUN-BELT,-1.736
Troy,SUN-BELT,3.3789999999999996
Georgia Southern,SUN-BELT,-3.654
Louisiana,SUN-BELT,6.1659999999999995
Arkansas State,SUN-BELT,-0.5828000000000003
Louisiana-Monroe,SUN-BELT,-0.8179999999999995
Texas State,SUN-BELT,-1.9184
South Alabama,SUN-BELT,-2.7051999999999996
