RANK,TEAM,CONFERENCE,WINS,LOSSES,POINTS
1,Pitt,ACC,3,1,9.745709752923116
2,Georgia,SEC,4,0,9.047993973576258
3,Michigan,BIG-TEN,4,0,8.892517897891457
4,Ole Miss,SEC,3,0,8.440117457060344
5,Wake Forest,ACC,4,0,7.934741245717791
6,Oklahoma,BIG-12,4,0,7.687069408810697
7,Baylor,BIG-12,4,0,6.750424922257048
8,Duke,ACC,3,1,6.498770281069394
9,North Carolina State,ACC,3,1,6.481882081793034
10,Ohio State,BIG-TEN,3,1,6.378764444480217
11,Cincinnati,AMERICAN,3,0,6.171028084909279
12,Coastal Carolina,SUN-BELT,4,0,6.0703884475174945
13,Syracuse,ACC,3,1,5.733458343659036
14,Air Force,MWC,3,1,5.693887751602588
15,Michigan State,BIG-TEN,4,0,5.646711010198057
16,Virginia Tech,ACC,3,1,5.630345141636156
17,Oregon State,PAC-12,3,1,5.615230097287737
18,Maryland,BIG-TEN,4,0,5.569394775520006
19,Boston College,ACC,4,0,5.539039695140937
20,Texas,BIG-12,3,1,5.508453878837361
21,Liberty,INDEPENDENT,3,1,5.330738001765498
22,SMU,AMERICAN,4,0,5.301073514325641
23,Iowa,BIG-TEN,4,0,5.293533092792393
24,Alabama,SEC,4,0,5.200500817944006
25,Florida,SEC,3,1,5.084611279463664
26,Fresno State,MWC,4,1,4.974811756665262
27,Miami (FL),ACC,2,2,4.915962955269508
28,Rutgers,BIG-TEN,3,1,4.880908036131174
29,Virginia,ACC,2,2,4.785520170457391
30,Oregon,PAC-12,4,0,4.7171738136112475
31,Georgia Tech,ACC,2,2,4.686946944177942
32,Marshall,CUSA,2,2,4.639411144706914
33,Louisville,ACC,3,1,4.545423774131462
34,UTSA,CUSA,4,0,4.544329020542338
35,Arizona State,PAC-12,3,1,4.535958209040115
36,Iowa State,BIG-12,2,2,4.507503374079368
37,Boise State,MWC,2,2,4.4751447695448725
38,UCLA,PAC-12,3,1,4.4220527756325545
39,Kentucky,SEC,4,0,4.4164713435470055
40,Texas Christian,BIG-12,2,1,4.414695416700246
41,Auburn,SEC,3,1,4.322875878178879
42,UCF,AMERICAN,2,1,4.283540838112506
43,Clemson,ACC,2,2,4.182222175744556
44,San Diego State,MWC,4,0,4.18061883457915
45,West Virginia,BIG-12,2,2,4.142146650902035
46,Notre Dame,INDEPENDENT,4,0,4.141348489367182
47,North Carolina,ACC,2,2,4.0705247987503865
48,Army,INDEPENDENT,4,0,3.969654805076199
49,Kansas State,BIG-12,3,1,3.928650451729909
