RANK,TEAM,CONFERENCE,WINS,LOSSES,POINTS
50,Western Michigan,MAC,3,1,3.8994872760198853
51,Western Kentucky,CUSA,1,2,3.8896649849181166
52,Arkansas,SEC,4,0,3.7848059399601297
53,Houston,AMERICAN,3,1,3.5857018966012433
54,Memphis,AMERICAN,3,1,3.4430995486983846
55,Oklahoma State,BIG-12,4,0,3.4236040582972027
56,Tennessee,SEC,2,2,3.419128270409925
57,Minnesota,BIG-TEN,2,2,3.354106990214615
58,Texas Tech,BIG-12,3,1,3.3217054358879783
59,Penn State,BIG-TEN,4,0,3.1970021293975486
60,Wisconsin,BIG-TEN,1,2,3.1936223717277876
61,Purdue,BIG-TEN,3,1,3.1759489111163113
62,Nevada,MWC,2,1,3.054200883079985
63,Utah,PAC-12,2,2,2.9294773897296933
64,UAB,CUSA,3,1,2.839676197470014
65,Texas A&M,SEC,3,1,2.8175222070517885
66,Troy,SUN-BELT,2,2,2.7478929761842545
67,Northwestern,BIG-TEN,2,2,2.7280176802375236
68,South Alabama,SUN-BELT,3,0,2.6875866861418856
69,Appalachian State,SUN-BELT,3,1,2.629687609629613
70,Washington,PAC-12,2,2,2.5305027383353362
71,Old Dominion,CUSA,1,3,2.269939660120894
72,Nebraska,BIG-TEN,2,3,2.2563465262917037
73,Wyoming,MWC,4,0,2.101929827359765
74,Florida Atlantic,CUSA,2,2,2.061738003143776
75,USC,PAC-12,2,2,1.867379105601114
76,Charlotte,CUSA,3,1,1.8641044357045318
77,Central Michigan,MAC,2,2,1.7886762663634181
78,UTEP,CUSA,3,1,1.7204062612264488
79,Missouri,SEC,2,2,1.504639025137037
80,LSU,SEC,3,1,1.4646550695151934
81,Illinois,BIG-TEN,1,4,1.4106455143436356
82,Mississippi State,SEC,2,2,1.2460522849281324
83,Utah State,MWC,3,1,1.1490867441484602
84,Temple,AMERICAN,2,2,1.0281716161285952
85,North Texas,CUSA,1,3,0.9939940755625769
86,Louisiana,SUN-BELT,3,1,0.9763891792939676
87,BYU,INDEPENDENT,4,0,0.9436351287205318
88,Indiana,BIG-TEN,2,2,0.8595361923589595
89,California,PAC-12,1,3,0.8548902847386565
90,Tulsa,AMERICAN,1,3,0.676129774770256
91,Buffalo,MAC,2,2,0.5621008556291408
92,Louisiana Tech,CUSA,2,2,0.4944228672678034
93,Florida International,CUSA,1,3,0.454925132159554
94,Stanford,PAC-12,2,2,0.37160565275053403
95,Tulane,AMERICAN,1,3,0.33242303525374295
96,Colorado State,MWC,1,3,0.3279343534463296
97,Middle Tennessee State,CUSA,1,3,0.29406724483046903
98,Hawaii,MWC,2,3,0.2707956956403952
99,South Carolina,SEC,2,2,0.21710076846345489
100,Eastern Michigan,MAC,3,1,0.1270694356117464
101,Washington State,PAC-12,1,3,0.0602106132837532
102,Toledo,MAC,2,2,-0.00033330494294930846
103,East Carolina,AMERICAN,2,2,-0.16479836673167936
104,New Mexico,MWC,2,2,-0.18911352418941824
105,Bowling Green State,MAC,2,2,-0.23211676943099607
106,San Jose State,MWC,2,2,-0.3502511228736672
107,Northern Illinois,MAC,2,2,-0.494278542859028
108,Louisiana-Monroe,SUN-BELT,2,1,-0.640919987046654
109,Arizona,PAC-12,0,4,-1.1554031522766988
110,Miami (OH),MAC,1,3,-1.1896774951326987
111,Colorado,PAC-12,1,3,-1.2385326132521053
112,Florida State,ACC,0,4,-1.3178188577394032
113,Navy,AMERICAN,0,3,-1.402881234290629
114,Kansas,BIG-12,1,3,-1.5472571208843762
115,Kent State,MAC,1,3,-1.644713610144696
116,Southern Mississippi,CUSA,1,3,-1.914722167446362
117,Rice,CUSA,1,3,-2.044152160202673
118,New Mexico State,INDEPENDENT,1,4,-2.5640631074709908
119,Ball State,MAC,1,3,-2.611246485420121
120,Texas State,SUN-BELT,1,3,-2.639720027010241
121,South Florida,AMERICAN,1,3,-2.7046709022027766
122,Arkansas State,SUN-BELT,1,3,-2.7132090158196007
123,Ohio,MAC,0,4,-3.763175890274273
124,Georgia State,SUN-BELT,1,3,-4.084600752003939
125,Nevada-Las Vegas,MWC,0,4,-4.523002184122891
126,Georgia Southern,SUN-BELT,1,3,-4.564053891702517
127,Akron,MAC,1,3,-5.016052204806273
128,Vanderbilt,SEC,1,3,-5.127875560819573
129,Massachusetts,INDEPENDENT,0,4,-5.781593375280365
130,Connecticut,INDEPENDENT,0,5,-5.928852348565963
