TEAM,CONFERENCE,POINTS
Clemson,ACC,9.0412
Wake Forest,ACC,5.807
Boston College,ACC,2.7012
Florida State,ACC,0.7770000000000002
Louisville,ACC,2.8828
Syracuse,ACC,-1.8249999999999997
North Carolina State,ACC,4.907
Virginia,ACC,4.979199999999999
North Carolina,ACC,1.127
Virginia Tech,ACC,2.1582000000000003
Miami (FL),ACC,4.7662
Pitt,ACC,0.9880000000000001
Georgia Tech,ACC,-2.4406
Duke,ACC,2.2318
East Carolina,AMERICAN,0.35680000000000006
UCF,AMERICAN,7.481999999999999
Cincinnati,AMERICAN,0.6021999999999998
Temple,AMERICAN,3.9318000000000004
Connecticut,AMERICAN,-2.3152
South Florida,AMERICAN,-0.9534000000000001
Navy,AMERICAN,8.452200000000001
Tulane,AMERICAN,4.4222
Houston,AMERICAN,-0.9979999999999996
Memphis,AMERICAN,6.8759999999999994
SMU,AMERICAN,4.6928
Tulsa,AMERICAN,-0.42800000000000005
Texas,BIG-12,4.3206
West Virginia,BIG-12,0.7368000000000002
Oklahoma State,BIG-12,5.0112
Kansas,BIG-12,1.9777999999999998
Baylor,BIG-12,8.3638
Kansas State,BIG-12,7.997800000000001
Oklahoma,BIG-12,9.914
Iowa State,BIG-12,5.658599999999999
Texas Christian,BIG-12,5.2139999999999995
Texas Tech,BIG-12,5.779799999999999
Ohio State,BIG-TEN,11.1838
Michigan State,BIG-TEN,5.8928
Indiana,BIG-TEN,4.5494
Michigan,BIG-TEN,1.2402000000000002
Rutgers,BIG-TEN,-0.6142
Penn State,BIG-TEN,8.3444
Maryland,BIG-TEN,9.5444
Iowa,BIG-TEN,5.597799999999999
Wisconsin,BIG-TEN,11.2074
Nebraska,BIG-TEN,4.401800000000001
Illinois,BIG-TEN,2.2788
Northwestern,BIG-TEN,-0.40879999999999994
Minnesota,BIG-TEN,2.4032000000000004
Purdue,BIG-TEN,0.28019999999999995
Western Kentucky,CUSA,-0.5979999999999999
Florida International,CUSA,-1.8969999999999998
Marshall,CUSA,2.6578
Charlotte,CUSA,1.2670000000000006
Florida Atlantic,CUSA,-0.4533999999999995
Middle Tennessee State,CUSA,-1.3290000000000006
Old Dominion,CUSA,-0.9599999999999996
Louisiana Tech,CUSA,1.3793999999999997
North Texas,CUSA,2.3770000000000002
UTSA,CUSA,-3.6498
UAB,CUSA,4.224
Southern Mississippi,CUSA,-1.0483999999999996
UTEP,CUSA,-3.3309999999999995
Rice,CUSA,-4.2414000000000005
Liberty,INDEPENDENT,0.36959999999999993
Massachusetts,INDEPENDENT,-7.057999999999999
New Mexico State,INDEPENDENT,-6.890199999999999
Army,INDEPENDENT,3.1386000000000003
Notre Dame,INDEPENDENT,5.066199999999999
Brigham Young,INDEPENDENT,-1.5901999999999998
Kent State,MAC,-0.8173999999999998
Bowling Green State,MAC,-3.6357999999999997
Akron,MAC,-5.466999999999999
Buffalo,MAC,0.5484000000000001
Miami (OH),MAC,-5.0996
Ohio,MAC,-1.2279999999999998
Central Michigan,MAC,-0.9284000000000001
Eastern Michigan,MAC,0.15400000000000005
Toledo,MAC,2.552
Western Michigan,MAC,2.1797999999999993
Northern Illinois,MAC,-2.2037999999999998
Ball State,MAC,0.5659999999999996
Boise State,MWC,4.765
Utah State,MWC,4.9274000000000004
Air Force,MWC,3.6633999999999998
Wyoming,MWC,0.3948
New Mexico,MWC,-2.3406
Colorado State,MWC,-0.026199999999999585
San Diego State,MWC,2.5180000000000002
Nevada,MWC,-1.317
Hawaii,MWC,0.3599999999999997
San Jose State,MWC,0.6078
Fresno State,MWC,0.307
Nevada-Las Vegas,MWC,-0.6401999999999999
California,PAC-12,2.6475999999999997
Oregon,PAC-12,7.4938
Washington State,PAC-12,6.5009999999999994
Washington,PAC-12,5.8713999999999995
Stanford,PAC-12,-1.6219999999999997
Oregon State,PAC-12,2.1265999999999994
USC,PAC-12,2.9545999999999997
Colorado,PAC-12,1.6219999999999994
UCLA,PAC-12,-2.7322
Arizona State,PAC-12,3.0242
Utah,PAC-12,5.1488000000000005
Arizona,PAC-12,3.7796000000000003
Florida,SEC,6.2384
Georgia,SEC,8.9404
Missouri,SEC,7.074999999999999
Kentucky,SEC,1.5171999999999999
South Carolina,SEC,1.3127999999999995
Tennessee,SEC,0.9774
Vanderbilt,SEC,-4.8584
Alabama,SEC,10.0632
Auburn,SEC,5.242999999999999
LSU,SEC,9.103
Mississippi State,SEC,3.3674
Ole Miss,SEC,1.7636000000000003
Arkansas,SEC,1.4884
Texas A&M,SEC,5.3164
Georgia State,SUN-BELT,-1.863
Appalachian State,SUN-BELT,3.476
Coastal Carolina,SUN-BELT,5.334
Troy,SUN-BELT,4.800000000000001
Georgia Southern,SUN-BELT,-3.713
Texas State,SUN-BELT,-3.7274
Louisiana,SUN-BELT,6.386
Arkansas State,SUN-BELT,-1.4287999999999994
Louisiana-Monroe,SUN-BELT,-2.266
South Alabama,SUN-BELT,-2.7851999999999997
