WINNER,LOSER,DIFFERENCE
Troy,South Alabama,28.374666666666673
Louisiana,Arkansas State,37.87200000000001
Stanford,UCLA,16.832000000000004
Fresno State,Nevada-Las Vegas,15.91333333333333
Ohio State,Northwestern,73.67200000000001
Pittsburgh,Syracuse,7.409333333333334
Air Force,Hawaii,6.069333333333331
Arizona,Southern California,1.1279999999999972
Utah,Arizona State,26.180000000000003
Army,Georgia State,0.5640000000000001
Auburn,Arkansas,23.43733333333333
Baylor,Oklahoma State,9.930666666666664
Boise State,Brigham Young,38.336
Buffalo,Akron,30.396
Central Michigan,Bowling Green State,29.185333333333332
Western Kentucky,Charlotte,19.326666666666668
Clemson,Louisville,34.15599999999999
Coastal Carolina,Georgia Southern,30.366666666666667
Washington State,Colorado,26.466666666666665
Virginia,Duke,0.7719999999999949
Central Florida,East Carolina,45.94133333333334
Florida,South Carolina,20.566666666666666
Wake Forest,Florida State,32.536000000000016
Miami (FL),Georgia Tech,47.732
Houston,Connecticut,27.864
Indiana,Maryland,5.914666666666667
Iowa State,Texas Tech,17.39466666666667
Texas,Kansas,31.606666666666666
Ohio,Kent State,6.937333333333335
Georgia,Kentucky,48.48666666666666
Louisiana State,Mississippi State,51.47733333333334
Appalachian State,Louisiana-Monroe,30.313333333333325
Liberty,Maine,
Florida Atlantic,Marshall,4.645333333333336
Penn State,Michigan,32.513333333333335
North Texas,Middle Tennessee State,23.030666666666672
Minnesota,Rutgers,60.775999999999996
Missouri,Vanderbilt,69.74933333333333
Utah State,Nevada,29.560000000000002
Wyoming,New Mexico,31.269333333333332
North Carolina,Virginia Tech,1.4786666666666681
North Carolina State,Boston College,7.820000000000004
Northern Illinois,Miami (OH),14.785333333333329
Alabama-Birmingham,Old Dominion,44.01333333333334
Oregon,Washington,18.128
California,Oregon State,8.409333333333338
Iowa,Purdue,36.71600000000001
Texas-San Antonio,Rice,7.946666666666668
San Diego State,San Jose State,13.416
Navy,South Florida,38.163999999999994
Louisiana Tech,Southern Mississippi,15.498666666666672
Southern Methodist,Temple,8.646666666666665
Alabama,Tennessee,60.67733333333332
Texas A&M,Mississippi,11.379999999999997
Texas Christian,Kansas State,5.648000000000009
Florida International,Texas-El Paso,38.74
Toledo,Ball State,0.9933333333333321
Tulane,Memphis,3.786666666666676
Cincinnati,Tulsa,29.21333333333334
Oklahoma,West Virginia,66.50000000000001
Western Michigan,Eastern Michigan,20.232000000000006
Wisconsin,Illinois,66.42
