RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,11.3116
2,Clemson,ACC,10.3346
3,Alabama,SEC,9.319599999999998
4,LSU,SEC,8.5136
5,Oklahoma,BIG-12,8.5032
6,Penn State,BIG-TEN,8.143
7,Georgia,SEC,7.4472000000000005
8,Utah,PAC-12,7.271200000000001
9,Wisconsin,BIG-TEN,7.2682
10,Oregon,PAC-12,7.0958000000000006
11,UCF,AMERICAN,7.078
12,Minnesota,BIG-TEN,6.4768
13,Navy,AMERICAN,6.2658
14,Baylor,BIG-12,6.2288
15,Appalachian State,SUN-BELT,5.479
16,Michigan,BIG-TEN,5.4542
17,Louisiana,SUN-BELT,5.390000000000001
18,Indiana,BIG-TEN,5.3678
19,Auburn,SEC,5.1948
20,Iowa,BIG-TEN,5.194
21,Wake Forest,ACC,5.0856
22,Missouri,SEC,5.0264
23,Memphis,AMERICAN,4.792
24,Florida,SEC,4.7758
25,Iowa State,BIG-12,4.768800000000001
26,Boise State,MWC,4.754
27,SMU,AMERICAN,4.748600000000001
28,Air Force,MWC,4.6364
29,Texas A&M,SEC,4.4386
30,Notre Dame,INDEPENDENT,4.426399999999998
31,Kansas State,BIG-12,4.0718
32,Louisiana Tech,CUSA,4.0324
33,Tulane,AMERICAN,3.9622
34,UAB,CUSA,3.8520000000000003
35,Washington State,PAC-12,3.6399999999999997
36,Washington,PAC-12,3.5903999999999994
37,Miami (FL),ACC,3.5549999999999997
38,Texas Christian,BIG-12,3.4978
39,Oklahoma State,BIG-12,3.4786000000000006
40,Virginia,ACC,3.3634
41,San Diego State,MWC,3.152
42,Western Michigan,MAC,2.8858
43,Cincinnati,AMERICAN,2.8753999999999995
44,Wyoming,MWC,2.8029999999999995
45,Texas,BIG-12,2.7994
46,Pitt,ACC,2.663
47,Liberty,INDEPENDENT,2.6595999999999997
48,Buffalo,MAC,2.6424000000000003
49,Florida Atlantic,CUSA,2.5126000000000004
50,Central Michigan,MAC,2.4635999999999996
51,Coastal Carolina,SUN-BELT,2.166
52,Marshall,CUSA,2.0718
53,Arizona State,PAC-12,2.0065999999999997
54,Ball State,MAC,1.9049999999999998
55,Boston College,ACC,1.8578000000000006
56,South Carolina,SEC,1.8352
57,USC,PAC-12,1.8271999999999997
58,Georgia State,SUN-BELT,1.8218000000000003
59,Duke,ACC,1.821
60,North Carolina,ACC,1.7989999999999995
61,Florida International,CUSA,1.7040000000000002
62,Louisville,ACC,1.6835999999999998
63,Western Kentucky,CUSA,1.6680000000000004
64,Southern Mississippi,CUSA,1.6606
65,Hawaii,MWC,1.6227999999999996
66,North Texas,CUSA,1.5950000000000002
67,Illinois,BIG-TEN,1.5816
68,Michigan State,BIG-TEN,1.5646000000000004
69,Colorado State,MWC,1.4289999999999998
70,Troy,SUN-BELT,1.4007999999999996
71,Oregon State,PAC-12,1.3846000000000003
72,Texas Tech,BIG-12,1.3788000000000005
73,North Carolina State,ACC,1.3598000000000001
74,Tennessee,SEC,1.2219999999999998
75,Virginia Tech,ACC,1.1294000000000004
76,Temple,AMERICAN,1.1254000000000004
77,Fresno State,MWC,1.1197999999999997
78,Kentucky,SEC,1.0802000000000003
79,Mississippi State,SEC,1.0534000000000001
80,Utah State,MWC,0.8464000000000005
81,Army,INDEPENDENT,0.7915999999999997
82,Nebraska,BIG-TEN,0.7743999999999999
83,Toledo,MAC,0.7279999999999999
84,Arizona,PAC-12,0.6688000000000003
85,Ole Miss,SEC,0.6448000000000005
86,UCLA,PAC-12,0.6352000000000003
87,Maryland,BIG-TEN,0.6284000000000003
88,Ohio,MAC,0.5249999999999997
89,Florida State,ACC,0.4989999999999999
90,Brigham Young,INDEPENDENT,0.4903999999999999
91,Georgia Southern,SUN-BELT,0.34679999999999994
92,South Florida,AMERICAN,0.24860000000000038
93,San Jose State,MWC,0.22600000000000003
94,Arkansas State,SUN-BELT,0.2202000000000004
95,Charlotte,CUSA,0.116
96,Purdue,BIG-TEN,0.08420000000000066
97,Stanford,PAC-12,-0.06259999999999968
98,California,PAC-12,-0.10460000000000025
99,Houston,AMERICAN,-0.1728000000000002
100,Northern Illinois,MAC,-0.2537999999999998
101,East Carolina,AMERICAN,-0.5666000000000001
102,Eastern Michigan,MAC,-0.8740000000000004
103,Tulsa,AMERICAN,-0.8890000000000002
104,Syracuse,ACC,-0.9515999999999994
105,Middle Tennessee State,CUSA,-0.9866000000000004
106,Colorado,PAC-12,-1.0368
107,Kansas,BIG-12,-1.0857999999999992
108,Kent State,MAC,-1.4466
109,Louisiana-Monroe,SUN-BELT,-1.5101999999999998
110,West Virginia,BIG-12,-1.5977999999999997
111,Miami (OH),MAC,-1.7145999999999997
112,Nevada-Las Vegas,MWC,-1.7369999999999994
113,Nevada,MWC,-1.8331999999999997
114,Georgia Tech,ACC,-2.1655999999999995
115,New Mexico,MWC,-2.2134
116,Arkansas,SEC,-2.2258000000000004
117,UTSA,CUSA,-2.6039999999999996
118,Texas State,SUN-BELT,-2.7615999999999996
119,Northwestern,BIG-TEN,-2.9058
120,Vanderbilt,SEC,-2.966799999999999
121,Bowling Green State,MAC,-2.9921999999999995
122,Old Dominion,CUSA,-3.0699999999999994
123,Rice,CUSA,-3.2084
124,South Alabama,SUN-BELT,-3.3981999999999997
125,Connecticut,AMERICAN,-3.6071999999999993
126,UTEP,CUSA,-3.6719999999999997
127,Rutgers,BIG-TEN,-4.1996
128,New Mexico State,INDEPENDENT,-5.0592
129,Akron,MAC,-5.2860000000000005
130,Massachusetts,INDEPENDENT,-6.8420000000000005
