WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Appalachian State,Marshall,3.6666666666666656,1,2.6666666666666656,True
Charlotte,Middle Tennessee State,10.333333333333334,3,7.333333333333334,True
Fresno State,Nevada-Las Vegas,23.666666666666668,8,15.666666666666668,True
Syracuse,Liberty,-3.0000000000000013,3,-6.000000000000002,False
Wake Forest,Virginia,10.333333333333332,20,-9.666666666666668,True
Air Force,Florida Atlantic,3.6666666666666656,24,-20.333333333333336,True
Alabama,Southern Mississippi,17.0,49,-32.0,True
Alabama-Birmingham,Tulane,10.333333333333334,7,3.333333333333334,True
Arizona State,Colorado,10.333333333333334,22,-11.666666666666666,True
Arkansas,Texas A&M,3.6666666666666656,10,-6.333333333333334,True
Army,Miami (OH),17.0,13,4.0,True
Auburn,Georgia State,10.333333333333334,10,0.3333333333333339,True
Baylor,Iowa State,10.333333333333332,2,8.333333333333332,True
Boise State,Utah State,-9.666666666666668,24,-33.66666666666667,False
Boston College,Missouri,10.333333333333332,7,3.333333333333332,True
Bowling Green State,Minnesota,-3.0000000000000013,4,-7.000000000000002,False
Brigham Young,South Florida,17.0,8,9.0,True
Buffalo,Old Dominion,3.666666666666667,1,2.666666666666667,True
Central Michigan,Florida International,3.666666666666667,4,-0.33333333333333304,True
Coastal Carolina,Massachusetts,23.666666666666668,50,-26.333333333333332,True
Duke,Kansas,10.333333333333334,19,-8.666666666666666,True
East Carolina,Charleston Southern,0,3,-3.0,True
Eastern Michigan,Texas State,10.333333333333334,38,-27.666666666666664,True
Florida,Tennessee,3.6666666666666656,24,-20.333333333333336,True
Georgia,Vanderbilt,17.0,62,-45.0,True
Georgia Tech,North Carolina,-3.0000000000000013,23,-26.0,False
Hawaii,New Mexico State,3.666666666666667,20,-16.333333333333332,True
Houston,Navy,17.0,8,9.0,True
Indiana,Western Kentucky,3.666666666666667,2,1.666666666666667,True
Iowa,Colorado State,17.0,10,7.0,True
Kentucky,South Carolina,10.333333333333332,6,4.333333333333332,True
Louisiana,Georgia Southern,10.333333333333334,8,2.333333333333334,True
Louisiana State,Mississippi State,3.6666666666666656,3,0.6666666666666656,True
Louisiana Tech,North Texas,3.666666666666667,7,-3.333333333333333,True
Louisiana-Monroe,Troy,-3.0000000000000013,13,-16.0,False
Louisville,Florida State,17.0,8,9.0,True
Maryland,Kent State,17.0,21,-4.0,True
Miami (FL),Central Connecticut State,0,69,-69.0,True
Michigan,Rutgers,3.6666666666666656,7,-3.3333333333333344,True
Michigan State,Nebraska,10.333333333333332,3,7.333333333333332,True
North Carolina State,Clemson,3.6666666666666656,6,-2.3333333333333344,True
Northern Illinois,Maine,0,27,-27.0,True
Northwestern,Ohio,10.333333333333334,29,-18.666666666666664,True
Notre Dame,Wisconsin,17.0,28,-11.0,True
Ohio State,Akron,10.333333333333334,52,-41.666666666666664,True
Oklahoma,West Virginia,10.333333333333332,3,7.333333333333332,True
Oklahoma State,Kansas State,3.6666666666666656,11,-7.333333333333334,True
Oregon,Arizona,23.666666666666668,22,1.6666666666666679,True
Oregon State,Southern California,3.6666666666666656,18,-14.333333333333334,True
Penn State,Villanova,0,21,-21.0,True
Pittsburgh,New Hampshire,0,70,-70.0,True
Purdue,Illinois,10.333333333333334,4,6.333333333333334,True
Rice,Texas Southern,0,14,-14.0,True
San Diego State,Towson,0,27,-27.0,True
Southern Methodist,Texas Christian,10.333333333333332,8,2.333333333333332,True
Temple,Wagner,0,34,-34.0,True
Texas,Texas Tech,-3.0000000000000013,35,-38.0,False
Texas-El Paso,New Mexico,3.6666666666666656,7,-3.3333333333333344,True
Texas-San Antonio,Memphis,3.6666666666666656,3,0.6666666666666656,True
Toledo,Ball State,3.666666666666667,10,-6.333333333333333,True
Tulsa,Arkansas State,-3.0,7,-10.0,False
UCLA,Stanford,3.6666666666666656,11,-7.333333333333334,True
Utah,Washington State,3.666666666666667,11,-7.333333333333333,True
Virginia Tech,Richmond,0,11,-11.0,True
Washington,California,3.666666666666667,7,-3.333333333333333,True
Western Michigan,San Jose State,3.6666666666666656,20,-16.333333333333336,True
Wyoming,Connecticut,23.666666666666668,2,21.666666666666668,True
