WINNER,LOSER,DIFFERENCE
Louisiana,Appalachian State,18.866666666666664
Louisiana-Monroe,Texas State,2.7626666666666706
North Carolina State,Syracuse,22.58133333333333
Oregon,Colorado,38.992000000000004
Colorado State,New Mexico,7.995999999999999
Miami (FL),Virginia,5.874666666666665
Alabama,Texas A&M,29.896
Alabama-Birmingham,Texas-San Antonio,34.328
Arkansas,Kentucky,2.7466666666666693
Army,Western Kentucky,3.7040000000000006
Ball State,Eastern Michigan,8.786666666666667
South Florida,Brigham Young,10.234666666666666
Florida International,Charlotte,8.440000000000008
Cincinnati,Houston,14.757333333333337
Tulane,Connecticut,59.232000000000006
Louisiana State,Florida,22.773333333333326
Clemson,Florida State,44.525333333333336
Air Force,Fresno State,11.522666666666671
Coastal Carolina,Georgia State,28.293333333333333
Duke,Georgia Tech,43.413333333333334
Boise State,Hawaii,14.80533333333334
Iowa State,West Virginia,26.258666666666674
Kent State,Akron,9.149333333333324
Wake Forest,Louisville,16.663999999999998
Maryland,Purdue,41.306666666666665
Louisiana Tech,Massachusetts,53.22266666666667
Memphis,Temple,4.85066666666666
Western Michigan,Miami (OH),40.08266666666667
Michigan,Illinois,18.970666666666663
Wisconsin,Michigan State,45.19333333333334
Florida Atlantic,Middle Tennessee State,27.287999999999997
Missouri,Mississippi,41.36399999999999
Mississippi State,Tennessee,9.047999999999996
Navy,Tulsa,31.085333333333338
Minnesota,Nebraska,15.445333333333332
Nevada-Las Vegas,Vanderbilt,5.22133333333333
Central Michigan,New Mexico State,40.23866666666667
North Texas,Southern Mississippi,4.269333333333333
Ohio,Northern Illinois,7.058666666666668
Oklahoma,Texas,34.38666666666667
Marshall,Old Dominion,12.93866666666667
Penn State,Iowa,25.794666666666675
Virginia Tech,Rhode Island,
Indiana,Rutgers,51.778666666666666
San Jose State,Nevada,21.293333333333333
Georgia,South Carolina,47.20799999999997
Notre Dame,Southern California,33.21066666666667
Baylor,Texas Tech,30.213333333333335
Toledo,Bowling Green State,47.51466666666665
Utah,Oregon State,19.576
Washington,Arizona,5.082666666666666
Washington State,Arizona State,3.706666666666658
San Diego State,Wyoming,7.373333333333333
