WINNER,LOSER,DIFFERENCE
Southern Methodist,Houston,34.784
Southern California,Colorado,19.527999999999995
Northern Illinois,Akron,28.774666666666665
Appalachian State,South Alabama,51.75066666666666
Arizona,Stanford,10.206666666666667
Arizona State,UCLA,17.44666666666667
Alabama,Arkansas,65.128
Louisiana State,Auburn,22.528000000000002
Clemson,Boston College,43.102666666666664
Western Michigan,Bowling Green State,40.42666666666666
Utah,California,41.73866666666667
Central Florida,Temple,23.27199999999999
Central Michigan,Buffalo,1.9346666666666683
Fresno State,Colorado State,11.809333333333333
Connecticut,Massachusetts,13.603999999999992
North Carolina,Duke,0.18666666666666684
Toledo,Eastern Michigan,7.1333333333333355
Florida Atlantic,Old Dominion,20.99733333333333
Florida International,Middle Tennessee State,27.224
Hawaii,New Mexico,20.465333333333334
Purdue,Illinois,1.4826666666666688
Indiana,Nebraska,22.492
Iowa,Northwestern,43.46266666666667
Liberty,Rutgers,43.64399999999999
Louisiana Tech,Texas-El Paso,42.196
Minnesota,Maryland,21.384000000000004
Memphis,Tulsa,39.244
Miami (FL),Pittsburgh,3.12
Kent State,Miami (OH),11.01333333333333
Texas A&M,Mississippi State,23.900000000000002
Missouri,Kentucky,35.82666666666666
Wyoming,Nevada,30.77066666666667
Georgia Southern,New Mexico State,26.51866666666667
North Texas,Charlotte,9.773333333333337
Notre Dame,Michigan,9.808000000000003
Ball State,Ohio,20.23333333333334
Oklahoma,Kansas State,38.61866666666667
Iowa State,Oklahoma State,17.001333333333342
Penn State,Michigan State,37.022666666666666
San Diego State,Nevada-Las Vegas,30.880000000000006
Army,San Jose State,9.626666666666662
South Carolina,Tennessee,10.277333333333333
East Carolina,South Florida,7.3786666666666685
Southern Mississippi,Rice,23.45333333333333
Florida State,Syracuse,2.5906666666666713
Texas Christian,Texas,8.443999999999997
Arkansas State,Texas State,6.513333333333333
Texas Tech,Kansas,14.697333333333335
Troy,Georgia State,3.5466666666666713
Navy,Tulane,13.373333333333335
Air Force,Utah State,12.78266666666667
Virginia,Louisville,14.232000000000003
Oregon,Washington State,22.366666666666664
Western Kentucky,Marshall,2.541333333333335
Ohio State,Wisconsin,17.76133333333332
