WINNER,LOSER,DIFFERENCE
Appalachian State,Georgia Southern,42.52000000000001
Baylor,West Virginia,55.03733333333333
Navy,Connecticut,52.12933333333332
Bowling Green State,Akron,7.865333333333329
Alabama-Birmingham,Tennessee,26.633333333333336
Arkansas State,Louisiana-Monroe,5.5360000000000005
Air Force,Army,26.092000000000006
Boise State,San Jose State,26.791999999999998
Boston College,Syracuse,4.096000000000002
Utah State,Brigham Young,18.606666666666666
Buffalo,Eastern Michigan,10.322666666666668
Cincinnati,East Carolina,22.80933333333334
UCLA,Colorado,6.940000000000001
Georgia,Florida,17.790666666666667
Western Kentucky,Florida Atlantic,1.429333333333333
Hawaii,Fresno State,6.933333333333337
Central Florida,Houston,50.729333333333344
Kansas State,Kansas,22.037333333333336
Liberty,Massachusetts,47.59733333333333
Marshall,Rice,28.414666666666662
Miami (FL),Florida State,11.052000000000005
Michigan,Maryland,21.02
Charlotte,Middle Tennessee State,4.3240000000000025
Auburn,Mississippi,28.86933333333334
Mississippi State,Arkansas,5.832
Nebraska,Purdue,5.956000000000003
Colorado State,Nevada-Las Vegas,19.848000000000003
Nevada,New Mexico,1.1013333333333364
Wake Forest,North Carolina State,15.781333333333343
Central Michigan,Northern Illinois,6.262666666666668
Indiana,Northwestern,50.053333333333335
Florida International,Old Dominion,32.70000000000001
Oregon,Southern California,24.227999999999994
Arizona,Oregon State,5.0120000000000005
Pittsburgh,Georgia Tech,25.49466666666667
Illinois,Rutgers,35.788000000000004
Memphis,Southern Methodist,1.3440000000000119
Texas Christian,Oklahoma State,2.0306666666666713
Louisiana,Texas State,51.02266666666668
North Texas,Texas-El Paso,30.39333333333333
Texas A&M,Texas-San Antonio,40.354666666666674
Coastal Carolina,Troy,7.5466666666666695
Tulane,Tulsa,33.16266666666667
Utah,Washington,16.929333333333332
South Carolina,Vanderbilt,28.073333333333338
Virginia,North Carolina,5.342666666666668
Notre Dame,Virginia Tech,21.84133333333334
Clemson,Wofford,
